citizenId,age,gender,archetype,socialCreditScore,trust,fear,altruism,ambition,curiosity,routine,riskAverse,techSavvy,socialEngagement,healthConsciousness
ALPHA-42-804,54,Male,The Stoic Engineer,70.8437,0.3686,0.4402,0.4202,0.8176,0.7057,0.8759,0.7805,0.7645,0.2020,0.6471
ALPHA-82-476,59,Male,The Stoic Engineer,72.9631,0.5244,0.2074,0.8829,0.3141,0.6059,0.8830,0.6827,0.8952,0.1283,0.5392
ALPHA-88-193,45,Male,The Idealistic Activist,58.9623,0.6004,0.2711,0.8409,0.4682,0.6008,0.2983,0.2764,0.7281,0.8638,0.6573
ALPHA-13-553,22,Female,The Idealistic Activist,63.7467,0.7512,0.8563,0.8652,0.3821,0.8059,0.2778,0.3987,0.6306,0.6973,0.8254
ALPHA-08-651,31,Female,The Cautious Observer,62.9793,0.3171,0.9367,0.1016,0.6120,0.1755,0.8067,0.7860,0.5851,0.1115,0.6498
ALPHA-23-301,21,Female,The Ambitious Entrepreneur,50.3705,0.4205,0.3917,0.5075,0.7292,0.2984,0.3251,0.1533,0.6497,0.5708,0.7939
ALPHA-79-921,50,Female,The Idealistic Activist,64.6473,0.5652,0.5434,0.7208,0.4985,0.6213,0.3995,0.2566,0.1194,0.7341,0.7632
ALPHA-41-644,34,Female,The Stoic Engineer,66.2553,0.5066,0.4151,0.4319,0.2556,0.7894,0.6454,0.5205,0.9689,0.2629,0.8706
ALPHA-94-515,43,Male,The Disillusioned Artist,50.0257,0.1359,0.7832,0.5509,0.3264,0.9042,0.3245,0.5297,0.8574,0.4870,0.3076
ALPHA-14-136,43,Female,The Stoic Engineer,72.3668,0.5249,0.3376,0.8716,0.7403,0.6955,0.7948,0.6642,0.9214,0.1268,0.6334
ALPHA-72-507,29,Male,The Community Builder,72.1517,0.6720,0.6134,0.7538,0.2545,0.3617,0.7078,0.6956,0.2475,0.9300,0.7779
ALPHA-31-916,40,Male,The Stoic Engineer,77.8294,0.4884,0.2419,0.7770,0.1438,0.8871,0.8115,0.8844,0.9370,0.2797,0.8606
ALPHA-25-798,36,Female,The Ambitious Entrepreneur,63.1575,0.8990,0.7062,0.6728,0.9557,0.2858,0.5911,0.2271,0.6792,0.6392,0.6842
ALPHA-27-924,76,Male,The Stoic Engineer,61.8112,0.6083,0.2402,0.6378,0.1422,0.6158,0.6083,0.6214,0.7741,0.3995,0.4244
ALPHA-90-280,43,Female,The Idealistic Activist,53.9095,0.7262,0.6162,0.8110,0.4651,0.1108,0.1350,0.3075,0.2140,0.6445,0.2150
ALPHA-89-315,52,Male,The Idealistic Activist,50.8665,0.6191,0.1281,0.8789,0.8414,0.1935,0.3754,0.2831,0.7843,0.6361,0.1723
ALPHA-08-867,62,Male,The Cautious Observer,62.7402,0.3476,0.6493,0.1470,0.7118,0.8732,0.6860,0.9169,0.3415,0.3197,0.8712
ALPHA-39-040,71,Male,The Stoic Engineer,70.4502,0.5429,0.2665,0.3266,0.1726,0.6944,0.7491,0.8531,0.8995,0.1171,0.5617
ALPHA-06-791,37,Male,The Disillusioned Artist,58.2253,0.3935,0.5975,0.6692,0.6652,0.7152,0.1701,0.3068,0.5904,0.3983,0.7184
ALPHA-31-905,62,Female,The Idealistic Activist,66.2906,0.6028,0.7359,0.8977,0.3831,0.3653,0.4242,0.2902,0.4744,0.8974,0.6764
ALPHA-87-926,35,Male,The Stoic Engineer,61.2260,0.3682,0.2475,0.4519,0.7051,0.7911,0.6152,0.7167,0.7604,0.2312,0.8787
ALPHA-86-517,77,Female,The Community Builder,69.4073,0.8826,0.3692,0.7121,0.5779,0.1078,0.4157,0.3329,0.4286,0.7592,0.6187
ALPHA-21-476,45,Male,The Stoic Engineer,67.1445,0.4169,0.3306,0.8882,0.8186,0.6395,0.6198,0.5452,0.7644,0.1644,0.7160
ALPHA-21-858,45,Female,The Disillusioned Artist,57.6496,0.4824,0.5032,0.6211,0.4894,0.7132,0.1751,0.3689,0.3484,0.3043,0.8359
ALPHA-38-735,52,Male,The Idealistic Activist,57.7511,0.6758,0.4711,0.7540,0.1835,0.8810,0.1924,0.4544,0.4370,0.9415,0.6211
ALPHA-47-125,52,Female,The Stoic Engineer,79.0559,0.5252,0.4203,0.6788,0.3229,0.8623,0.8787,0.8270,0.7376,0.1659,0.8930
ALPHA-85-884,46,Female,The Cautious Observer,73.7217,0.4699,0.6925,0.4359,0.3859,0.1100,0.7842,0.9687,0.8679,0.1566,0.8345
ALPHA-27-673,30,Female,The Idealistic Activist,58.3160,0.8780,0.8509,0.9266,0.4655,0.1798,0.2086,0.3699,0.2730,0.7103,0.3697
ALPHA-50-205,28,Male,The Stoic Engineer,52.5664,0.6032,0.4180,0.3283,0.5308,0.8142,0.7687,0.5988,0.7032,0.2387,0.1831
ALPHA-51-528,16,Male,The Disillusioned Artist,54.1293,0.2569,0.7755,0.6564,0.4786,0.8521,0.3121,0.3447,0.1971,0.5436,0.4185
ALPHA-25-939,43,Female,The Cautious Observer,64.5125,0.3660,0.7506,0.8907,0.3684,0.1050,0.6334,0.8713,0.1500,0.3357,0.2943
ALPHA-92-443,32,Female,The Stoic Engineer,61.5062,0.6073,0.3568,0.1334,0.1266,0.7240,0.7397,0.7943,0.9513,0.1128,0.2290
ALPHA-50-713,75,Male,The Cautious Observer,66.9880,0.4744,0.7136,0.5720,0.8596,0.2442,0.8391,0.9017,0.3198,0.3706,0.1095
ALPHA-80-388,18,Female,The Disillusioned Artist,54.6798,0.2520,0.6672,0.4820,0.1751,0.9212,0.2457,0.3137,0.6790,0.2573,0.6969
ALPHA-24-308,23,Male,The Disillusioned Artist,48.4677,0.1545,0.7092,0.7424,0.4636,0.7272,0.2156,0.3266,0.7664,0.2206,0.7360
ALPHA-73-343,29,Female,The Stoic Engineer,58.0545,0.5175,0.2147,0.2442,0.1863,0.6476,0.9488,0.5135,0.7304,0.2551,0.3218
ALPHA-39-309,38,Female,The Cautious Observer,60.4777,0.4257,0.8561,0.1280,0.5295,0.4126,0.7480,0.7126,0.7622,0.2967,0.6307
ALPHA-95-684,42,Male,The Disillusioned Artist,42.2994,0.1025,0.7104,0.7158,0.8169,0.9573,0.1427,0.5193,0.7609,0.2459,0.2699
ALPHA-58-632,42,Male,The Cautious Observer,72.0221,0.4798,0.6411,0.7039,0.7969,0.3117,0.8352,0.8329,0.6105,0.3732,0.3831
ALPHA-50-266,62,Female,The Community Builder,62.1674,0.6203,0.4676,0.9391,0.1765,0.1539,0.6473,0.1243,0.3668,0.7164,0.5571
ALPHA-48-468,51,Female,The Community Builder,75.2036,0.7711,0.1006,0.9629,0.1265,0.8964,0.5876,0.5094,0.1771,0.9346,0.9000
ALPHA-14-113,42,Male,The Ambitious Entrepreneur,52.6157,0.8628,0.4556,0.4214,0.9036,0.2180,0.3858,0.2637,0.7890,0.7184,0.2963
ALPHA-79-941,31,Male,The Disillusioned Artist,54.5614,0.3847,0.7470,0.7135,0.4241,0.7153,0.1408,0.3662,0.3489,0.3828,0.8391
ALPHA-33-679,40,Female,The Idealistic Activist,53.8451,0.5775,0.5479,0.8687,0.7172,0.7221,0.1480,0.4647,0.3887,0.7620,0.2176
ALPHA-18-660,45,Male,The Idealistic Activist,67.4923,0.7932,0.1387,0.7940,0.4315,0.8415,0.1991,0.4498,0.7253,0.6734,0.7211
ALPHA-40-855,43,Male,The Ambitious Entrepreneur,56.2406,0.3771,0.5728,0.6444,0.9599,0.5630,0.6589,0.3878,0.6704,0.6119,0.6786
ALPHA-49-248,31,Female,The Community Builder,65.6344,0.7938,0.7693,0.9513,0.6793,0.8116,0.4882,0.1757,0.5401,0.7786,0.6271
ALPHA-90-054,55,Male,The Stoic Engineer,74.1613,0.4189,0.4953,0.8366,0.4387,0.7633,0.8323,0.6451,0.8490,0.1431,0.7610
ALPHA-37-494,34,Female,The Ambitious Entrepreneur,63.1496,0.2283,0.7684,0.5551,0.8614,0.8839,0.5895,0.3799,0.7237,0.5482,0.8951
ALPHA-36-523,34,Male,The Idealistic Activist,65.5892,0.8799,0.1937,0.7748,0.5176,0.1056,0.1108,0.3613,0.6595,0.9461,0.8537
ALPHA-19-598,40,Male,The Disillusioned Artist,53.6023,0.3565,0.8647,0.6615,0.2400,0.9832,0.3933,0.3497,0.7327,0.4304,0.3198
ALPHA-91-853,49,Male,The Idealistic Activist,70.9989,0.8665,0.8543,0.9447,0.6252,0.3720,0.1985,0.3444,0.6019,0.6803,0.8697
ALPHA-81-340,52,Female,The Cautious Observer,59.4581,0.4091,0.8169,0.7217,0.6960,0.7132,0.7758,0.7472,0.5216,0.2853,0.1435
ALPHA-13-191,24,Female,The Stoic Engineer,58.1812,0.6783,0.3443,0.3081,0.8729,0.8390,0.8200,0.6375,0.8962,0.2470,0.3565
ALPHA-86-654,37,Male,The Cautious Observer,68.6640,0.2187,0.6672,0.8986,0.5347,0.8838,0.7754,0.8350,0.6996,0.3971,0.5299
ALPHA-12-684,55,Female,The Ambitious Entrepreneur,48.4915,0.3142,0.7359,0.8123,0.7224,0.7221,0.4904,0.1883,0.6597,0.6079,0.2787
ALPHA-11-405,59,Male,The Idealistic Activist,61.6207,0.7624,0.2641,0.8258,0.8235,0.6002,0.1009,0.4754,0.2946,0.8237,0.6740
ALPHA-92-746,50,Male,The Cautious Observer,68.0666,0.3086,0.6703,0.3572,0.7093,0.7980,0.7838,0.9227,0.1175,0.3853,0.5529
ALPHA-26-570,64,Male,The Stoic Engineer,66.2274,0.6363,0.4177,0.2592,0.4021,0.6399,0.7924,0.6281,0.9621,0.3193,0.6191
ALPHA-91-013,32,Female,The Community Builder,74.1285,0.7225,0.2239,0.7972,0.2463,0.3401,0.5621,0.8707,0.2137,0.8839,0.6525
ALPHA-42-453,52,Female,The Community Builder,69.1908,0.6399,0.6128,0.9352,0.2636,0.5855,0.7959,0.1484,0.8361,0.7300,0.7242
ALPHA-71-373,49,Male,The Community Builder,71.3140,0.6110,0.4432,0.7866,0.8857,0.2776,0.5688,0.4732,0.5239,0.8040,0.7180
ALPHA-22-862,58,Female,The Community Builder,72.0528,0.8343,0.6090,0.7963,0.3739,0.3548,0.4196,0.8124,0.8096,0.8125,0.7220
ALPHA-35-541,16,Female,The Cautious Observer,55.8234,0.2165,0.9330,0.2499,0.7903,0.8653,0.6778,0.9883,0.5661,0.2396,0.4224
ALPHA-15-268,36,Female,The Community Builder,62.0073,0.8599,0.4693,0.8118,0.4785,0.1305,0.4225,0.3483,0.5219,0.7411,0.5532
ALPHA-19-515,57,Male,The Idealistic Activist,51.0436,0.6012,0.5651,0.7293,0.3907,0.8642,0.1223,0.2484,0.1705,0.8319,0.2010
ALPHA-40-868,46,Female,The Community Builder,76.0172,0.6409,0.7478,0.8763,0.8790,0.8476,0.5436,0.5406,0.3348,0.9118,0.8592
ALPHA-54-861,54,Male,The Cautious Observer,63.7812,0.3863,0.9335,0.6134,0.6634,0.4908,0.6408,0.8058,0.8107,0.3763,0.5903
ALPHA-28-681,44,Female,The Community Builder,66.0521,0.7241,0.7506,0.8712,0.7344,0.7200,0.5133,0.1693,0.2964,0.7987,0.6938
ALPHA-01-453,66,Female,The Community Builder,68.5485,0.6991,0.6312,0.7387,0.1307,0.6000,0.4911,0.4790,0.4560,0.7360,0.8760
ALPHA-09-969,35,Female,The Idealistic Activist,61.4491,0.8821,0.6520,0.7630,0.8541,0.7969,0.3595,0.4362,0.4155,0.8830,0.3662
ALPHA-62-989,72,Female,The Disillusioned Artist,54.8207,0.4652,0.6456,0.4358,0.1908,0.9804,0.3939,0.2151,0.3384,0.5882,0.8306
ALPHA-57-124,40,Female,The Ambitious Entrepreneur,53.9184,0.5959,0.2861,0.2596,0.8022,0.1940,0.5772,0.1828,0.9391,0.8657,0.6262
ALPHA-35-832,31,Female,The Idealistic Activist,52.9120,0.7924,0.8446,0.7111,0.2400,0.5031,0.3838,0.3652,0.5816,0.6429,0.2472
ALPHA-20-089,37,Female,The Ambitious Entrepreneur,45.2741,0.7061,0.4733,0.3132,0.7077,0.5015,0.5191,0.1885,0.9123,0.8564,0.1139
ALPHA-51-353,40,Female,The Idealistic Activist,61.6630,0.7886,0.1874,0.9428,0.3477,0.1655,0.3188,0.4092,0.7123,0.7150,0.4964
ALPHA-94-256,74,Female,The Community Builder,68.7907,0.9026,0.5238,0.8881,0.6477,0.8540,0.7512,0.2969,0.5718,0.9455,0.5600
ALPHA-56-956,16,Male,The Community Builder,78.9323,0.9222,0.4525,0.9147,0.8012,0.6671,0.5466,0.7491,0.2980,0.9235,0.8128
ALPHA-18-294,40,Male,The Stoic Engineer,50.7251,0.4990,0.4691,0.1533,0.7144,0.6916,0.6679,0.6356,0.8823,0.1457,0.2977
ALPHA-45-106,32,Male,The Idealistic Activist,53.9990,0.7115,0.5076,0.7827,0.1912,0.4008,0.2371,0.2187,0.4272,0.9098,0.2566
ALPHA-26-181,60,Female,The Idealistic Activist,49.4520,0.5562,0.6386,0.8110,0.2876,0.2235,0.1519,0.4138,0.2423,0.6344,0.2639
ALPHA-27-215,20,Male,The Idealistic Activist,55.5873,0.8681,0.7844,0.9331,0.7853,0.4653,0.1150,0.3377,0.8773,0.6614,0.1595
ALPHA-47-294,51,Male,The Disillusioned Artist,49.1443,0.3400,0.5222,0.4939,0.5293,0.8966,0.3322,0.4295,0.3941,0.2953,0.4006
ALPHA-81-583,33,Female,The Community Builder,71.7216,0.8728,0.3073,0.9007,0.2172,0.2676,0.5583,0.4580,0.5780,0.8754,0.8600
ALPHA-05-026,27,Male,The Ambitious Entrepreneur,50.2502,0.1858,0.2025,0.7391,0.8831,0.5780,0.4287,0.1589,0.8922,0.6604,0.4689
ALPHA-41-281,28,Female,The Cautious Observer,62.8466,0.4136,0.9163,0.7369,0.7771,0.8133,0.6574,0.7985,0.5052,0.1663,0.4944
ALPHA-54-560,59,Female,The Ambitious Entrepreneur,49.8290,0.1398,0.3219,0.8881,0.7397,0.4097,0.6600,0.3254,0.6312,0.8524,0.1422
ALPHA-22-736,41,Female,The Idealistic Activist,57.8765,0.7122,0.3661,0.8399,0.3949,0.4360,0.3435,0.3808,0.2845,0.7433,0.3213
ALPHA-37-712,39,Male,The Disillusioned Artist,56.4183,0.4520,0.5180,0.7499,0.7411,0.9447,0.1976,0.3305,0.6035,0.4719,0.4763
ALPHA-95-634,49,Female,The Cautious Observer,62.6138,0.3187,0.9357,0.8462,0.8722,0.1395,0.8257,0.8873,0.5933,0.1402,0.1205
ALPHA-01-669,45,Male,The Stoic Engineer,66.7437,0.3646,0.2834,0.1618,0.5590,0.7742,0.9465,0.7278,0.8161,0.1856,0.8505
ALPHA-19-683,59,Female,The Disillusioned Artist,60.3480,0.4110,0.8755,0.4155,0.1650,0.8392,0.3097,0.5255,0.8516,0.3160,0.6997
ALPHA-56-144,42,Male,The Ambitious Entrepreneur,52.2713,0.4598,0.6202,0.3723,0.7746,0.8795,0.5841,0.3512,0.9432,0.7917,0.4966
ALPHA-21-163,51,Male,The Cautious Observer,67.3763,0.4477,0.7202,0.4611,0.4419,0.7353,0.6365,0.8961,0.8647,0.1942,0.6838
ALPHA-66-345,53,Female,The Ambitious Entrepreneur,58.3867,0.5344,0.4623,0.4550,0.9693,0.3460,0.5774,0.2462,0.8792,0.8105,0.4422
ALPHA-01-087,36,Male,The Community Builder,77.0745,0.7115,0.5979,0.9508,0.5453,0.8394,0.7342,0.8328,0.5674,0.8969,0.8307
ALPHA-07-668,50,Female,The Idealistic Activist,58.9516,0.7073,0.4911,0.9292,0.3414,0.6678,0.4553,0.2357,0.4524,0.8075,0.3512
ALPHA-44-360,48,Male,The Cautious Observer,62.9309,0.3621,0.8774,0.5374,0.2180,0.5048,0.6319,0.7059,0.5078,0.1550,0.7694
ALPHA-37-936,39,Male,The Cautious Observer,64.7775,0.2056,0.8003,0.8497,0.4121,0.1578,0.7293,0.7118,0.5824,0.3353,0.3381
ALPHA-87-908,40,Male,The Stoic Engineer,68.5689,0.5730,0.4336,0.4322,0.4469,0.6107,0.6680,0.8118,0.9600,0.2537,0.8687
ALPHA-27-484,45,Male,The Stoic Engineer,68.8385,0.4134,0.2701,0.6039,0.4574,0.9438,0.8247,0.8140,0.7865,0.1217,0.8961
ALPHA-80-492,31,Male,The Stoic Engineer,61.1461,0.3387,0.4821,0.1593,0.3352,0.9151,0.6168,0.8547,0.9638,0.1698,0.8583
ALPHA-81-257,34,Female,The Disillusioned Artist,47.1158,0.3014,0.8622,0.5443,0.5531,0.7166,0.2052,0.3320,0.2876,0.3661,0.4497
ALPHA-16-649,53,Female,The Community Builder,83.1099,0.8773,0.7037,0.9270,0.2704,0.1458,0.7644,0.7777,0.2194,0.8923,0.5457
ALPHA-13-891,16,Male,The Disillusioned Artist,59.5703,0.2265,0.7976,0.7600,0.2778,0.9374,0.1390,0.5346,0.7116,0.2342,0.8514
ALPHA-64-278,41,Male,The Idealistic Activist,53.7262,0.7756,0.2621,0.7655,0.2619,0.5615,0.4329,0.2374,0.8036,0.7418,0.1978
ALPHA-43-103,37,Male,The Cautious Observer,63.0675,0.4776,0.9017,0.6940,0.6612,0.8719,0.6729,0.7403,0.7396,0.1469,0.1522
ALPHA-86-958,47,Male,The Cautious Observer,60.2049,0.2589,0.9070,0.8277,0.4363,0.3590,0.6291,0.8001,0.3925,0.1383,0.1609
ALPHA-50-883,33,Female,The Disillusioned Artist,45.8647,0.1073,0.5389,0.6300,0.8078,0.7807,0.1032,0.4674,0.3337,0.3994,0.2266
ALPHA-01-328,46,Female,The Stoic Engineer,62.4281,0.5869,0.3554,0.4517,0.7577,0.7370,0.9095,0.5854,0.8934,0.2747,0.4282
ALPHA-49-054,41,Male,The Ambitious Entrepreneur,44.3920,0.6094,0.4517,0.2705,0.9467,0.5157,0.6292,0.1894,0.7439,0.6900,0.2466
ALPHA-94-493,60,Female,The Stoic Engineer,66.5912,0.6666,0.3631,0.3547,0.3396,0.7987,0.9228,0.6517,0.7090,0.2258,0.5811
ALPHA-73-497,53,Female,The Idealistic Activist,59.0539,0.7488,0.4688,0.9488,0.3256,0.2366,0.2182,0.3281,0.1489,0.7797,0.4751
ALPHA-22-577,50,Female,The Community Builder,74.2595,0.6432,0.5876,0.7841,0.1520,0.2096,0.7128,0.5415,0.7897,0.9418,0.6142
ALPHA-15-026,30,Female,The Disillusioned Artist,45.3376,0.1872,0.6232,0.4077,0.4318,0.8039,0.2433,0.3864,0.1006,0.5170,0.1495
ALPHA-94-731,52,Male,The Idealistic Activist,56.8691,0.6561,0.6106,0.8605,0.2340,0.3770,0.3850,0.3125,0.4221,0.8605,0.3007
ALPHA-70-070,37,Male,The Ambitious Entrepreneur,44.5700,0.3212,0.8099,0.1337,0.8615,0.5392,0.5044,0.3551,0.6928,0.8456,0.5793
ALPHA-13-755,41,Female,The Cautious Observer,62.5914,0.4920,0.7083,0.1049,0.4846,0.2295,0.7486,0.8954,0.5018,0.3032,0.6277
ALPHA-20-270,57,Male,The Ambitious Entrepreneur,57.5439,0.2737,0.3773,0.6908,0.9512,0.6196,0.5657,0.3022,0.9111,0.8871,0.5260
ALPHA-41-564,46,Male,The Disillusioned Artist,52.4343,0.4970,0.6540,0.6258,0.5478,0.9430,0.2379,0.2791,0.1939,0.4553,0.5686
ALPHA-61-183,60,Male,The Community Builder,75.5408,0.6938,0.3362,0.8756,0.3299,0.6597,0.4993,0.7640,0.2405,0.9221,0.7123
ALPHA-68-481,47,Female,The Idealistic Activist,65.3101,0.5915,0.3725,0.9412,0.2291,0.4537,0.4627,0.3523,0.7211,0.6772,0.7711
ALPHA-39-359,43,Female,The Idealistic Activist,51.8952,0.5225,0.8256,0.7391,0.6357,0.1790,0.4102,0.4464,0.8452,0.6649,0.2451
ALPHA-46-446,42,Male,The Community Builder,66.2043,0.9354,0.6653,0.7795,0.2395,0.6411,0.6721,0.4254,0.3557,0.7760,0.5834
ALPHA-93-316,64,Male,The Stoic Engineer,58.6287,0.4396,0.3146,0.3733,0.7491,0.6784,0.7961,0.5236,0.7860,0.1456,0.7248
ALPHA-38-494,63,Female,The Community Builder,67.4465,0.7801,0.1588,0.9624,0.8922,0.1251,0.4454,0.2243,0.4395,0.9412,0.6897
ALPHA-57-427,24,Male,The Idealistic Activist,66.8019,0.6793,0.4440,0.9791,0.4446,0.3031,0.4241,0.4419,0.4139,0.7936,0.6463
ALPHA-79-163,38,Male,The Community Builder,71.6789,0.8906,0.3072,0.8063,0.5657,0.2428,0.5939,0.2671,0.7337,0.7555,0.8292
ALPHA-54-832,42,Female,The Disillusioned Artist,37.6318,0.1179,0.7622,0.4412,0.3107,0.9427,0.1536,0.4033,0.1678,0.5612,0.1581
ALPHA-74-647,64,Female,The Community Builder,64.0003,0.7077,0.6887,0.7011,0.6928,0.5976,0.6447,0.4176,0.8958,0.7261,0.7301
ALPHA-33-790,46,Female,The Cautious Observer,62.0526,0.2897,0.7879,0.6552,0.5621,0.4565,0.6573,0.9260,0.7711,0.1197,0.2048
ALPHA-90-604,48,Male,The Disillusioned Artist,52.8240,0.2231,0.7224,0.5331,0.8558,0.8635,0.1854,0.4544,0.5408,0.4917,0.5695
ALPHA-06-471,62,Female,The Community Builder,63.6351,0.6713,0.4939,0.7238,0.8965,0.1978,0.5446,0.2204,0.2568,0.8022,0.6642
ALPHA-59-624,51,Male,The Disillusioned Artist,45.3084,0.1971,0.8977,0.4516,0.6057,0.7857,0.3984,0.2887,0.7946,0.4263,0.6610
ALPHA-69-464,40,Female,The Community Builder,69.6633,0.9144,0.5014,0.8505,0.3426,0.5389,0.6295,0.3583,0.4608,0.7700,0.8331
ALPHA-77-939,54,Female,The Cautious Observer,65.5116,0.4814,0.9047,0.8120,0.5389,0.7137,0.6375,0.7881,0.3211,0.3933,0.3234
ALPHA-62-104,53,Male,The Disillusioned Artist,51.9426,0.2010,0.7958,0.7462,0.1838,0.7102,0.1312,0.2353,0.8440,0.3367,0.6845
ALPHA-45-666,53,Male,The Community Builder,59.6739,0.8218,0.6949,0.7144,0.8089,0.5280,0.4492,0.1793,0.1995,0.7900,0.7956
ALPHA-31-114,60,Female,The Idealistic Activist,57.2339,0.6389,0.2522,0.7358,0.5222,0.4895,0.4502,0.2749,0.1564,0.9007,0.2991
ALPHA-20-831,73,Male,The Disillusioned Artist,40.0891,0.3027,0.6357,0.5327,0.6472,0.7208,0.3750,0.2990,0.7234,0.4044,0.1306
ALPHA-40-768,57,Female,The Stoic Engineer,71.8510,0.6015,0.3809,0.7856,0.5961,0.6640,0.7888,0.7304,0.8728,0.3930,0.6920
ALPHA-81-273,51,Male,The Cautious Observer,69.3852,0.4478,0.8418,0.5038,0.8704,0.3095,0.8112,0.9007,0.1076,0.2928,0.3294
ALPHA-45-319,51,Female,The Stoic Engineer,62.6176,0.5754,0.4992,0.1923,0.7419,0.6236,0.8884,0.7693,0.8241,0.3656,0.2551
ALPHA-08-146,52,Male,The Stoic Engineer,46.7278,0.3631,0.4620,0.1554,0.8518,0.7660,0.6629,0.7050,0.7040,0.2915,0.1805
ALPHA-34-236,23,Male,The Ambitious Entrepreneur,63.9597,0.6636,0.5125,0.5491,0.8996,0.8886,0.5562,0.2933,0.8951,0.8244,0.7445
ALPHA-32-756,25,Male,The Ambitious Entrepreneur,50.0200,0.1172,0.2728,0.6948,0.8685,0.6873,0.3003,0.3466,0.7743,0.5506,0.2784
