activityType,activityDescription,riskLevel,archetype,textContent,sentimentScore
socializing,Meeting friends at cafe,LOW,The Disillusioned Artist,Commuting during rush hour. A sea of expressionless faces heading to their offices.,0.2087
socializing,Meeting friends at cafe,LOW,The Idealistic Activist,Running in the park. Reminds me what we are fighting to protect.,0.7116
sports,Playing basketball,MEDIUM,The Ambitious Entrepreneur,Eating at fast food restaurant. Quick fuel. Speed is more valuable than standard pacing right now.,0.5100
studying,Self-directed learning,LOW,The Cautious Observer,Grocery shopping. Stocking up on essentials. Preparation is key.,0.5719
heavy_lifting,Moving boxes into building,MEDIUM,The Community Builder,Volunteering at the local shelter. So proud of everyone who showed up to help today!,0.8442
shopping,Grocery shopping,LOW,The Disillusioned Artist,"Cycling without helmet. Feeling the wind, ignoring the safety margins just to feel alive.",0.3132
cooking,Preparing a healthy meal,LOW,The Ambitious Entrepreneur,"Playing basketball. Love the competition, always playing to win.",0.9334
cycling,Cycling without helmet,MEDIUM,The Community Builder,Focused desk work. Organizing the community outreach schedule.,0.6728
fast_food,Eating at fast food restaurant,HIGH,The Cautious Observer,Focused desk work. Double-checking all project dependencies to prevent unexpected issues.,0.4387
volunteering,Helping at local shelter,LOW,The Idealistic Activist,"Self-directed learning. Knowledge is power. Educate, agitate, organize.",0.5104
exercise,Running in the park,LOW,The Idealistic Activist,Helping at local shelter. Real change happens from the ground up.,0.6543
cooking,Preparing a healthy meal,LOW,The Disillusioned Artist,Smoking outside building. Watching the smoke drift away into the rain. Art is transient.,0.4373
shopping,Grocery shopping,LOW,The Idealistic Activist,Focused desk work. Writing our manifesto for the upcoming climate action plan.,0.7783
fast_food,Eating at fast food restaurant,HIGH,The Stoic Engineer,Commuting during rush hour. The traffic congestion is an optimization problem waiting to be solved.,0.4684
smoking,Smoking outside building,HIGH,The Cautious Observer,"Running in the park. Staying alert, watching the path carefully.",0.5068
heavy_lifting,Moving boxes into building,MEDIUM,The Disillusioned Artist,Commuting during rush hour. A sea of expressionless faces heading to their offices.,0.1171
driving,Commuting during rush hour,MEDIUM,The Disillusioned Artist,Smoking outside building. Watching the smoke drift away into the rain. Art is transient.,0.3423
smoking,Smoking outside building,HIGH,The Idealistic Activist,"Self-directed learning. Knowledge is power. Educate, agitate, organize.",0.7217
fast_food,Eating at fast food restaurant,HIGH,The Cautious Observer,"Yoga session at home. Quiet, controlled environment. Perfect for avoiding risks.",0.5543
studying,Self-directed learning,LOW,The Cautious Observer,"Running in the park. Staying alert, watching the path carefully.",0.5748
heavy_lifting,Moving boxes into building,MEDIUM,The Ambitious Entrepreneur,Self-directed learning. Staying ahead of the curve. Innovation waits for no one.,0.5399
exercise,Running in the park,LOW,The Stoic Engineer,Running in the park. Maintaining physical systems is as important as digital ones.,0.4439
exercise,Running in the park,LOW,The Cautious Observer,Grocery shopping. Stocking up on essentials. Preparation is key.,0.5138
exercise,Yoga session at home,LOW,The Disillusioned Artist,Smoking outside building. Watching the smoke drift away into the rain. Art is transient.,0.3146
gardening,Community garden maintenance,LOW,The Disillusioned Artist,Just a cup of black coffee and another gray morning. What are we all running towards?,0.1392
sports,Playing basketball,MEDIUM,The Ambitious Entrepreneur,Eating at fast food restaurant. Quick fuel. Speed is more valuable than standard pacing right now.,0.6909
fast_food,Eating at fast food restaurant,HIGH,The Disillusioned Artist,Just a cup of black coffee and another gray morning. What are we all running towards?,0.2536
shopping,Grocery shopping,LOW,The Cautious Observer,Grocery shopping. Stocking up on essentials. Preparation is key.,0.5333
heavy_lifting,Moving boxes into building,MEDIUM,The Cautious Observer,"Running in the park. Staying alert, watching the path carefully.",0.5428
shopping,Grocery shopping,LOW,The Ambitious Entrepreneur,Focused desk work. Refining our seed round deck. Scale is everything.,0.6267
exercise,Yoga session at home,LOW,The Cautious Observer,Grocery shopping. Stocking up on essentials. Preparation is key.,0.5165
working,Focused desk work,LOW,The Ambitious Entrepreneur,"Playing basketball. Love the competition, always playing to win.",0.9457
working,Focused desk work,LOW,The Community Builder,Meeting friends at cafe. Great discussions about our neighborhood cleanup project.,0.9335
gardening,Community garden maintenance,LOW,The Community Builder,Preparing a healthy meal for the family. Food is love made visible.,0.6826
heavy_lifting,Moving boxes into building,MEDIUM,The Community Builder,Preparing a healthy meal for the family. Food is love made visible.,0.7930
cycling,Cycling without helmet,MEDIUM,The Community Builder,Yoga session at home. Centering myself so I can be present for others.,0.6987
studying,Self-directed learning,LOW,The Idealistic Activist,Helping at local shelter. Real change happens from the ground up.,0.7144
studying,Self-directed learning,LOW,The Cautious Observer,Focused desk work. Double-checking all project dependencies to prevent unexpected issues.,0.4643
sports,Playing basketball,MEDIUM,The Ambitious Entrepreneur,Meeting friends at cafe. Networking is the real net worth. Pitching a new project.,0.5085
working,Focused desk work,LOW,The Ambitious Entrepreneur,Eating at fast food restaurant. Quick fuel. Speed is more valuable than standard pacing right now.,0.5794
shopping,Grocery shopping,LOW,The Disillusioned Artist,Commuting during rush hour. A sea of expressionless faces heading to their offices.,0.3397
socializing,Meeting friends at cafe,LOW,The Ambitious Entrepreneur,"Commuting during rush hour. Taking calls, closing deals. No time wasted.",0.8462
sports,Playing basketball,MEDIUM,The Idealistic Activist,Focused desk work. Writing our manifesto for the upcoming climate action plan.,0.8210
gardening,Community garden maintenance,LOW,The Idealistic Activist,Community garden maintenance. Reclaiming green spaces for the people!,0.8239
cooking,Preparing a healthy meal,LOW,The Idealistic Activist,Community garden maintenance. Reclaiming green spaces for the people!,0.9204
sports,Playing basketball,MEDIUM,The Stoic Engineer,Optimizing the new backend pipeline. System throughput increased by 36%.,0.7154
gardening,Community garden maintenance,LOW,The Cautious Observer,"Smoking outside building. Staying on the sidelines, watching the world spin by.",0.3117
studying,Self-directed learning,LOW,The Ambitious Entrepreneur,Focused desk work. Refining our seed round deck. Scale is everything.,0.5746
cycling,Cycling without helmet,MEDIUM,The Cautious Observer,Commuting during rush hour. Always keeping an eye on the emergency exits. Better safe than sorry.,0.6773
cycling,Cycling without helmet,MEDIUM,The Idealistic Activist,Meeting friends at cafe. Planning the next community campaign over hot drinks.,0.7444
fast_food,Eating at fast food restaurant,HIGH,The Idealistic Activist,Community garden maintenance. Reclaiming green spaces for the people!,0.9538
fast_food,Eating at fast food restaurant,HIGH,The Stoic Engineer,Self-directed learning on decentralized protocols. Fascinating logic.,0.8751
fast_food,Eating at fast food restaurant,HIGH,The Stoic Engineer,Optimizing the new backend pipeline. System throughput increased by 69%.,0.8999
driving,Commuting during rush hour,MEDIUM,The Ambitious Entrepreneur,Eating at fast food restaurant. Quick fuel. Speed is more valuable than standard pacing right now.,0.5588
exercise,Running in the park,LOW,The Stoic Engineer,Optimizing the new backend pipeline. System throughput increased by 33%.,0.7216
volunteering,Helping at local shelter,LOW,The Ambitious Entrepreneur,"Playing basketball. Love the competition, always playing to win.",0.9344
working,Focused desk work,LOW,The Community Builder,Yoga session at home. Centering myself so I can be present for others.,0.7722
smoking,Smoking outside building,HIGH,The Cautious Observer,"Running in the park. Staying alert, watching the path carefully.",0.4926
exercise,Yoga session at home,LOW,The Idealistic Activist,Community garden maintenance. Reclaiming green spaces for the people!,0.7956
heavy_lifting,Moving boxes into building,MEDIUM,The Cautious Observer,Commuting during rush hour. Always keeping an eye on the emergency exits. Better safe than sorry.,0.6049
working,Focused desk work,LOW,The Community Builder,Meeting friends at cafe. Great discussions about our neighborhood cleanup project.,0.8070
cooking,Preparing a healthy meal,LOW,The Cautious Observer,"Smoking outside building. Staying on the sidelines, watching the world spin by.",0.3888
volunteering,Helping at local shelter,LOW,The Idealistic Activist,Helping at local shelter. Real change happens from the ground up.,0.6443
cooking,Preparing a healthy meal,LOW,The Stoic Engineer,Preparing a healthy meal. Precise measurements yield consistent nutritional results.,0.5489
working,Focused desk work,LOW,The Disillusioned Artist,Smoking outside building. Watching the smoke drift away into the rain. Art is transient.,0.3341
shopping,Grocery shopping,LOW,The Cautious Observer,Focused desk work. Double-checking all project dependencies to prevent unexpected issues.,0.5387
cycling,Cycling without helmet,MEDIUM,The Disillusioned Artist,Commuting during rush hour. A sea of expressionless faces heading to their offices.,0.2116
volunteering,Helping at local shelter,LOW,The Ambitious Entrepreneur,"Commuting during rush hour. Taking calls, closing deals. No time wasted.",0.8101
fast_food,Eating at fast food restaurant,HIGH,The Disillusioned Artist,"Focused desk work... or rather, staring at a blank screen wondering if this is all there is.",0.4086
heavy_lifting,Moving boxes into building,MEDIUM,The Disillusioned Artist,Just a cup of black coffee and another gray morning. What are we all running towards?,0.2971
working,Focused desk work,LOW,The Community Builder,Meeting friends at cafe. Great discussions about our neighborhood cleanup project.,0.8375
shopping,Grocery shopping,LOW,The Idealistic Activist,Helping at local shelter. Real change happens from the ground up.,0.6292
working,Focused desk work,LOW,The Idealistic Activist,Meeting friends at cafe. Planning the next community campaign over hot drinks.,0.5636
volunteering,Helping at local shelter,LOW,The Community Builder,Preparing a healthy meal for the family. Food is love made visible.,0.7276
smoking,Smoking outside building,HIGH,The Stoic Engineer,Optimizing the new backend pipeline. System throughput increased by 47%.,0.8970
smoking,Smoking outside building,HIGH,The Cautious Observer,Commuting during rush hour. Always keeping an eye on the emergency exits. Better safe than sorry.,0.6687
smoking,Smoking outside building,HIGH,The Community Builder,Meeting friends at cafe. Great discussions about our neighborhood cleanup project.,0.8865
studying,Self-directed learning,LOW,The Cautious Observer,Focused desk work. Double-checking all project dependencies to prevent unexpected issues.,0.5912
volunteering,Helping at local shelter,LOW,The Idealistic Activist,Helping at local shelter. Real change happens from the ground up.,0.6192
cooking,Preparing a healthy meal,LOW,The Ambitious Entrepreneur,Self-directed learning. Staying ahead of the curve. Innovation waits for no one.,0.5266
working,Focused desk work,LOW,The Disillusioned Artist,Just a cup of black coffee and another gray morning. What are we all running towards?,0.1323
sports,Playing basketball,MEDIUM,The Ambitious Entrepreneur,"Commuting during rush hour. Taking calls, closing deals. No time wasted.",0.9465
cycling,Cycling without helmet,MEDIUM,The Community Builder,Yoga session at home. Centering myself so I can be present for others.,0.7181
shopping,Grocery shopping,LOW,The Community Builder,Preparing a healthy meal for the family. Food is love made visible.,0.6739
sports,Playing basketball,MEDIUM,The Idealistic Activist,Helping at local shelter. Real change happens from the ground up.,0.7251
studying,Self-directed learning,LOW,The Cautious Observer,"Running in the park. Staying alert, watching the path carefully.",0.4835
heavy_lifting,Moving boxes into building,MEDIUM,The Disillusioned Artist,Commuting during rush hour. A sea of expressionless faces heading to their offices.,0.1402
shopping,Grocery shopping,LOW,The Disillusioned Artist,"Cycling without helmet. Feeling the wind, ignoring the safety margins just to feel alive.",0.3332
volunteering,Helping at local shelter,LOW,The Ambitious Entrepreneur,"Playing basketball. Love the competition, always playing to win.",0.8312
gardening,Community garden maintenance,LOW,The Cautious Observer,Focused desk work. Double-checking all project dependencies to prevent unexpected issues.,0.4604
working,Focused desk work,LOW,The Stoic Engineer,Preparing a healthy meal. Precise measurements yield consistent nutritional results.,0.5701
cooking,Preparing a healthy meal,LOW,The Stoic Engineer,Focused desk work. Code reviews and system refactoring require complete focus.,0.4171
working,Focused desk work,LOW,The Ambitious Entrepreneur,Meeting friends at cafe. Networking is the real net worth. Pitching a new project.,0.5435
cycling,Cycling without helmet,MEDIUM,The Stoic Engineer,Optimizing the new backend pipeline. System throughput increased by 84%.,0.8233
socializing,Meeting friends at cafe,LOW,The Cautious Observer,Grocery shopping. Stocking up on essentials. Preparation is key.,0.4256
smoking,Smoking outside building,HIGH,The Ambitious Entrepreneur,"Commuting during rush hour. Taking calls, closing deals. No time wasted.",0.9161
smoking,Smoking outside building,HIGH,The Stoic Engineer,Preparing a healthy meal. Precise measurements yield consistent nutritional results.,0.4290
cooking,Preparing a healthy meal,LOW,The Cautious Observer,"Smoking outside building. Staying on the sidelines, watching the world spin by.",0.3178
heavy_lifting,Moving boxes into building,MEDIUM,The Stoic Engineer,Optimizing the new backend pipeline. System throughput increased by 39%.,0.8636
shopping,Grocery shopping,LOW,The Cautious Observer,"Smoking outside building. Staying on the sidelines, watching the world spin by.",0.2170
exercise,Running in the park,LOW,The Idealistic Activist,Running in the park. Reminds me what we are fighting to protect.,0.7375
cooking,Preparing a healthy meal,LOW,The Stoic Engineer,Commuting during rush hour. The traffic congestion is an optimization problem waiting to be solved.,0.5600
studying,Self-directed learning,LOW,The Community Builder,Focused desk work. Organizing the community outreach schedule.,0.7269
shopping,Grocery shopping,LOW,The Community Builder,Meeting friends at cafe. Great discussions about our neighborhood cleanup project.,0.8918
exercise,Yoga session at home,LOW,The Community Builder,Yoga session at home. Centering myself so I can be present for others.,0.7709
fast_food,Eating at fast food restaurant,HIGH,The Idealistic Activist,Running in the park. Reminds me what we are fighting to protect.,0.7178
socializing,Meeting friends at cafe,LOW,The Idealistic Activist,Helping at local shelter. Real change happens from the ground up.,0.5669
cooking,Preparing a healthy meal,LOW,The Idealistic Activist,Community garden maintenance. Reclaiming green spaces for the people!,0.9328
shopping,Grocery shopping,LOW,The Cautious Observer,Commuting during rush hour. Always keeping an eye on the emergency exits. Better safe than sorry.,0.7125
working,Focused desk work,LOW,The Cautious Observer,Focused desk work. Double-checking all project dependencies to prevent unexpected issues.,0.4632
socializing,Meeting friends at cafe,LOW,The Cautious Observer,Commuting during rush hour. Always keeping an eye on the emergency exits. Better safe than sorry.,0.5766
volunteering,Helping at local shelter,LOW,The Cautious Observer,"Running in the park. Staying alert, watching the path carefully.",0.4749
working,Focused desk work,LOW,The Cautious Observer,"Smoking outside building. Staying on the sidelines, watching the world spin by.",0.3630
gardening,Community garden maintenance,LOW,The Community Builder,Yoga session at home. Centering myself so I can be present for others.,0.7806
exercise,Running in the park,LOW,The Stoic Engineer,Self-directed learning on decentralized protocols. Fascinating logic.,0.8997
exercise,Running in the park,LOW,The Cautious Observer,"Yoga session at home. Quiet, controlled environment. Perfect for avoiding risks.",0.7488
working,Focused desk work,LOW,The Idealistic Activist,Community garden maintenance. Reclaiming green spaces for the people!,0.7828
cycling,Cycling without helmet,MEDIUM,The Disillusioned Artist,Commuting during rush hour. A sea of expressionless faces heading to their offices.,0.1660
cycling,Cycling without helmet,MEDIUM,The Community Builder,"Community garden maintenance. Small seeds, big future. Let's grow together!",0.8351
exercise,Yoga session at home,LOW,The Idealistic Activist,Focused desk work. Writing our manifesto for the upcoming climate action plan.,0.9164
heavy_lifting,Moving boxes into building,MEDIUM,The Stoic Engineer,Self-directed learning on decentralized protocols. Fascinating logic.,0.7419
exercise,Running in the park,LOW,The Disillusioned Artist,"Focused desk work... or rather, staring at a blank screen wondering if this is all there is.",0.4756
exercise,Yoga session at home,LOW,The Disillusioned Artist,Commuting during rush hour. A sea of expressionless faces heading to their offices.,0.2120
driving,Commuting during rush hour,MEDIUM,The Cautious Observer,"Smoking outside building. Staying on the sidelines, watching the world spin by.",0.2991
exercise,Running in the park,LOW,The Stoic Engineer,Self-directed learning on decentralized protocols. Fascinating logic.,0.8210
shopping,Grocery shopping,LOW,The Community Builder,Yoga session at home. Centering myself so I can be present for others.,0.7867
smoking,Smoking outside building,HIGH,The Ambitious Entrepreneur,"Commuting during rush hour. Taking calls, closing deals. No time wasted.",0.8265
socializing,Meeting friends at cafe,LOW,The Community Builder,"Community garden maintenance. Small seeds, big future. Let's grow together!",0.9331
exercise,Yoga session at home,LOW,The Disillusioned Artist,Commuting during rush hour. A sea of expressionless faces heading to their offices.,0.2620
cooking,Preparing a healthy meal,LOW,The Ambitious Entrepreneur,"Commuting during rush hour. Taking calls, closing deals. No time wasted.",0.7527
fast_food,Eating at fast food restaurant,HIGH,The Cautious Observer,"Yoga session at home. Quiet, controlled environment. Perfect for avoiding risks.",0.6944
gardening,Community garden maintenance,LOW,The Community Builder,Focused desk work. Organizing the community outreach schedule.,0.6624
gardening,Community garden maintenance,LOW,The Ambitious Entrepreneur,Meeting friends at cafe. Networking is the real net worth. Pitching a new project.,0.6561
socializing,Meeting friends at cafe,LOW,The Idealistic Activist,Focused desk work. Writing our manifesto for the upcoming climate action plan.,0.8722
cycling,Cycling without helmet,MEDIUM,The Disillusioned Artist,Meeting friends at cafe. Superficial conversations in a crowded room. Nostalgia hurts.,0.4913
volunteering,Helping at local shelter,LOW,The Stoic Engineer,Preparing a healthy meal. Precise measurements yield consistent nutritional results.,0.4652
working,Focused desk work,LOW,The Ambitious Entrepreneur,Meeting friends at cafe. Networking is the real net worth. Pitching a new project.,0.6221
exercise,Yoga session at home,LOW,The Cautious Observer,"Smoking outside building. Staying on the sidelines, watching the world spin by.",0.2368
working,Focused desk work,LOW,The Stoic Engineer,Running in the park. Maintaining physical systems is as important as digital ones.,0.4248
working,Focused desk work,LOW,The Disillusioned Artist,"Focused desk work... or rather, staring at a blank screen wondering if this is all there is.",0.4834
exercise,Running in the park,LOW,The Cautious Observer,Grocery shopping. Stocking up on essentials. Preparation is key.,0.5993
working,Focused desk work,LOW,The Ambitious Entrepreneur,"Playing basketball. Love the competition, always playing to win.",0.9047
exercise,Running in the park,LOW,The Disillusioned Artist,Meeting friends at cafe. Superficial conversations in a crowded room. Nostalgia hurts.,0.3799
sports,Playing basketball,MEDIUM,The Ambitious Entrepreneur,Focused desk work. Refining our seed round deck. Scale is everything.,0.5809
working,Focused desk work,LOW,The Stoic Engineer,Preparing a healthy meal. Precise measurements yield consistent nutritional results.,0.4027
sports,Playing basketball,MEDIUM,The Cautious Observer,"Running in the park. Staying alert, watching the path carefully.",0.4426
exercise,Yoga session at home,LOW,The Community Builder,Focused desk work. Organizing the community outreach schedule.,0.7893
sports,Playing basketball,MEDIUM,The Community Builder,Yoga session at home. Centering myself so I can be present for others.,0.6646
sports,Playing basketball,MEDIUM,The Disillusioned Artist,"Cycling without helmet. Feeling the wind, ignoring the safety margins just to feel alive.",0.4277
working,Focused desk work,LOW,The Disillusioned Artist,Meeting friends at cafe. Superficial conversations in a crowded room. Nostalgia hurts.,0.3159
working,Focused desk work,LOW,The Ambitious Entrepreneur,Focused desk work. Refining our seed round deck. Scale is everything.,0.5147
sports,Playing basketball,MEDIUM,The Cautious Observer,"Running in the park. Staying alert, watching the path carefully.",0.4300
cycling,Cycling without helmet,MEDIUM,The Disillusioned Artist,"Cycling without helmet. Feeling the wind, ignoring the safety margins just to feel alive.",0.3048
gardening,Community garden maintenance,LOW,The Idealistic Activist,Community garden maintenance. Reclaiming green spaces for the people!,0.8049
cooking,Preparing a healthy meal,LOW,The Ambitious Entrepreneur,"Playing basketball. Love the competition, always playing to win.",0.8592
driving,Commuting during rush hour,MEDIUM,The Stoic Engineer,Commuting during rush hour. The traffic congestion is an optimization problem waiting to be solved.,0.4029
heavy_lifting,Moving boxes into building,MEDIUM,The Stoic Engineer,Focused desk work. Code reviews and system refactoring require complete focus.,0.4401
gardening,Community garden maintenance,LOW,The Ambitious Entrepreneur,"Playing basketball. Love the competition, always playing to win.",0.9016
volunteering,Helping at local shelter,LOW,The Cautious Observer,"Smoking outside building. Staying on the sidelines, watching the world spin by.",0.2001
cooking,Preparing a healthy meal,LOW,The Idealistic Activist,Focused desk work. Writing our manifesto for the upcoming climate action plan.,0.8876
exercise,Running in the park,LOW,The Ambitious Entrepreneur,Meeting friends at cafe. Networking is the real net worth. Pitching a new project.,0.5861
studying,Self-directed learning,LOW,The Cautious Observer,"Smoking outside building. Staying on the sidelines, watching the world spin by.",0.3663
gardening,Community garden maintenance,LOW,The Disillusioned Artist,Smoking outside building. Watching the smoke drift away into the rain. Art is transient.,0.3432
cycling,Cycling without helmet,MEDIUM,The Cautious Observer,Grocery shopping. Stocking up on essentials. Preparation is key.,0.4478
cycling,Cycling without helmet,MEDIUM,The Idealistic Activist,Running in the park. Reminds me what we are fighting to protect.,0.7031
cycling,Cycling without helmet,MEDIUM,The Idealistic Activist,"Self-directed learning. Knowledge is power. Educate, agitate, organize.",0.5616
driving,Commuting during rush hour,MEDIUM,The Community Builder,Preparing a healthy meal for the family. Food is love made visible.,0.7380
driving,Commuting during rush hour,MEDIUM,The Community Builder,Preparing a healthy meal for the family. Food is love made visible.,0.7942
sports,Playing basketball,MEDIUM,The Ambitious Entrepreneur,Focused desk work. Refining our seed round deck. Scale is everything.,0.5279
exercise,Running in the park,LOW,The Community Builder,Meeting friends at cafe. Great discussions about our neighborhood cleanup project.,0.9697
cycling,Cycling without helmet,MEDIUM,The Disillusioned Artist,Smoking outside building. Watching the smoke drift away into the rain. Art is transient.,0.3841
gardening,Community garden maintenance,LOW,The Stoic Engineer,Preparing a healthy meal. Precise measurements yield consistent nutritional results.,0.4336
fast_food,Eating at fast food restaurant,HIGH,The Community Builder,Meeting friends at cafe. Great discussions about our neighborhood cleanup project.,0.9730
smoking,Smoking outside building,HIGH,The Cautious Observer,Grocery shopping. Stocking up on essentials. Preparation is key.,0.4002
