citizen_id,digital_soul_hash,birth_date,age,gender,life_stage,archetype,memory_event_type,memory_narrative,memory_age_at_event,memory_emotional_weight,trust,fear,altruism,ambition,curiosity,social_credit_score,insurance_risk_tier,routine,risk_averse,tech_savvy,social_engagement,health_consciousness
ZETA-87-771,6d758b863cf1b40e89b11a2383158aa9,2003-08-06,23,Male,Early Career,The Traditional Elder,childhood_triumph,"Building my first radio from scrap parts, hearing static turn to music one spring morning.",19,0.8453564696864744,0.7714168946348005,0.3342742871426603,0.36047579666028934,0.8984072548062494,0.7369014635467344,57.33889713552638,Standard,0.9,0.9,0.3,0.4271152630228115,0.5002281528617353
OMEGA-91-174,88ddb1067c487e044ef9c6c7d73846a3,1967-02-05,59,Female,Late Career,The Traditional Elder,community_bond,Protest march where I felt part of something larger than myself in the summer of '98.,20,0.6138806939230207,0.6549245799954933,0.26919579383962,1.0,0.3901193906529112,0.6139495076827786,63.739533707201765,Standard,0.9,0.9,0.3,0.5009324331907392,0.44273614048612664
ALPHA-96-726,13647d3766676a94cd732576e91226d5,1985-05-13,41,Male,Mid-Career,The Digital Native,personal_failure,"Failing the exam everyone expected me to ace, learning humility on a Tuesday I'll never forget.",6,0.9374898656131245,0.5716499758537975,0.6917853098065967,0.653234323581585,0.6892826034983177,0.7932229189304552,56.1854940370399,Standard,0.4,0.4,0.95,0.5293578405368551,0.7302653110826787
EPSILON-98-481,f955e24fb9d6c3b14382ed2c98561993,1963-11-03,63,Female,Pre-Retirement,The Ambitious Entrepreneur,personal_failure,"Business collapsing in year one, rebuilding from zero in the summer of '98.",7,0.9691212732650052,0.5695856204047731,0.5449292254374788,0.6609589215138775,0.6447090855674886,0.762743382049724,50.434116368743965,Standard,0.4,0.3,0.8,0.8479412229448238,0.3418680091960225
ZETA-77-690,397de903aee3e8a0e3535a9b551b597e,1996-11-17,30,Male,Mid-Career,The Ambitious Entrepreneur,childhood_triumph,"Building my first radio from scrap parts, hearing static turn to music one spring morning.",11,0.9412655691724825,0.8083899301300257,0.4408823682172705,0.36362134941615665,0.7879544569796382,0.6935756954350714,57.39789326228451,Standard,0.4,0.3,0.8,0.525296014903109,0.7850516278961097
ZETA-18-565,c1e97c5abc4455ae216a85118d88498d,1969-04-04,57,Male,Late Career,The Disillusioned Artist,personal_failure,Losing the championship but gaining respect for sportsmanship on a Tuesday I'll never forget.,11,0.8728354431792884,0.6158817697468599,0.6081880421824575,0.7475617551182419,0.47397050126811074,0.5199169262917264,51.96103645272205,Standard,0.3,0.2,0.6,0.319101097393545,0.3619983154007481
SIGMA-53-821,a3c00c8963a4837a445f66a5ece64db1,1983-04-28,43,Male,Mid-Career,The Digital Native,community_bond,Church potluck where strangers became family over shared stories on a Tuesday I'll never forget.,19,0.7752682860225037,0.6810953997764084,0.25041409310836,0.884457095082354,0.6898772992915237,0.38910023123948023,59.19870811912691,Standard,0.4,0.4,0.95,0.44165848184422873,0.5539962464908954
GAMMA-89-435,42ed5c6130098f2e101d9c451ebb9579,1961-07-12,65,Female,Pre-Retirement,The Disillusioned Artist,personal_failure,"Failing the exam everyone expected me to ace, learning humility one spring morning.",22,0.8984570662772957,0.6066017355370052,0.6477671365858091,0.7271099903653276,0.5037946392590843,0.7612357421411861,54.71501079811805,Standard,0.3,0.2,0.6,0.818093229020382,0.578421748793202
SIGMA-70-350,141db5c884e0a3d1c9ed4820f490c14d,1957-04-17,69,Female,Pre-Retirement,The Community Builder,community_bond,Protest march where I felt part of something larger than myself one spring morning.,19,0.8772897066043603,0.8301984282129945,0.3366273812982624,0.7894803679343384,0.34311164222990687,0.3133884588527118,64.80256442115807,Standard,0.7,0.5,0.5,0.34718490974352306,0.6237593558588734
SIGMA-51-745,be6dd203e462cc33782de1db52c0d218,1969-11-24,57,Female,Late Career,The Ambitious Entrepreneur,personal_failure,"Failing the exam everyone expected me to ace, learning humility during the autumn of my youth.",17,0.963366186255983,0.3158391579677995,0.4001300415043574,0.6393462684242102,0.6785228530068821,0.7558034917495561,49.61354824342173,Elevated,0.4,0.3,0.8,0.4476094815240347,0.6471047371801726
BETA-18-491,dbfa09479e8ad5d41d8b3b4fa2d4dca8,1977-10-10,49,Male,Late Career,The Ambitious Entrepreneur,discovery,Stumbling upon hidden jazz records that changed my taste forever that winter changed everything.,16,0.9353080043859116,0.5764349470127362,0.5829314245276207,0.22132879688047843,0.6967966592354131,1.0,43.53254341767223,Elevated,0.4,0.3,0.8,0.595411246232419,0.31226083494735507
EPSILON-97-815,41ddfaaa75de0bb221b2ca690aed31d1,1985-11-08,41,Female,Mid-Career,The Stoic Engineer,personal_failure,Losing the championship but gaining respect for sportsmanship one spring morning.,15,0.9987886085424014,0.47194426613288565,0.47021090236707347,0.6037864414737295,0.597177100261685,0.7989285254686505,52.98372642605539,Standard,0.9,0.8,0.9,0.8760334143276829,0.3658696320861158
GAMMA-42-606,8aba16503431a6404c5fb105ae169bf0,1987-10-11,39,Female,Mid-Career,The Disillusioned Artist,childhood_triumph,"Scoring the winning goal in rain-soaked mud, teammates lifting me up in the summer of '98.",17,0.74955263106558,0.5757346262891769,0.39537310681738774,0.5117025466742124,0.8793962352520488,0.6085981677990238,47.137488155557136,Elevated,0.3,0.2,0.6,0.6824081455290298,0.32981716197736066
BETA-10-535,2cd5c2e22daa0fca7dbfc877490e5bf3,1972-05-13,54,Female,Late Career,The Stoic Engineer,personal_failure,"Business collapsing in year one, rebuilding from zero one spring morning.",20,0.6143789401993479,0.31626347781549025,0.6100552852581487,0.6468569521310497,0.6862338909559902,0.6484661332300273,50.457293072934874,Standard,0.9,0.8,0.9,0.8519678547612082,0.36194461564395497
OMEGA-65-638,cccb048649458dcaaff37b553af3bcdb,1974-02-10,52,Male,Late Career,The Traditional Elder,childhood_triumph,The day I won the spelling bee while my father watched from the back row one spring morning.,9,0.8710590451186669,0.7470595994778544,0.2344519623439631,0.4951504465442244,0.6345725698998985,0.5867703686647037,58.61378658964131,Standard,0.9,0.9,0.3,0.46707540481193743,0.4830225267947232
ZETA-46-542,427a700c963a77aa532f9b5bdbdd6939,1979-11-25,47,Female,Late Career,The Digital Native,discovery,"Finding astronomy books in the attic, realizing how small we are in the summer of '98.",16,0.6985460512257877,0.6447113381897682,0.4601786333886736,0.34849566150024736,0.6918894311325328,0.9562140080780128,51.00201921990807,Standard,0.4,0.4,0.95,0.6847540882778488,0.5920238355739327
SIGMA-55-778,9ade4ed77450b2a936a396cb38812b8d,1972-12-25,54,Male,Late Career,The Community Builder,early_loss,Moving away before saying goodbye to my best friend at the station on a Tuesday I'll never forget.,16,0.7126635619570464,0.20382139403494148,0.6958460161902897,0.4253116502140031,0.6730187370520363,0.2117481787625505,41.977096699638956,Elevated,0.7,0.5,0.5,0.3444954890624745,0.3013996043820054
ALPHA-12-488,e58629ab4714ab61acc413db8bd12c3a,1974-02-18,52,Male,Late Career,The Disillusioned Artist,personal_failure,Losing the championship but gaining respect for sportsmanship in the summer of '98.,5,0.9896385839198382,0.5032460491210258,0.4021923152873349,0.7590085426871316,0.6446718159384326,0.810247851301479,54.45461319370681,Standard,0.3,0.2,0.6,0.8702625651355265,0.6669709380652878
SIGMA-61-328,ce3d58db07f871a2c5ddc05191f6c4ca,1961-06-23,65,Female,Pre-Retirement,The Digital Native,community_bond,Church potluck where strangers became family over shared stories on a Tuesday I'll never forget.,8,0.8427721281638636,0.8780102350730824,0.25763297846827815,0.8457482766915287,0.4714604581396171,0.47024265893342615,64.4530500560295,Standard,0.4,0.4,0.95,0.7303000836993103,0.6804414136129944
EPSILON-61-850,0b5dfb917dad35a83457fb2c0091e3b0,1978-06-12,48,Female,Late Career,The Ambitious Entrepreneur,community_bond,Protest march where I felt part of something larger than myself one spring morning.,24,0.6856383513267278,0.650555943833839,0.43048806919017574,0.7998989391284662,0.5510374192572165,0.6637870116166626,57.45597991387217,Standard,0.4,0.3,0.8,0.5283480194193768,0.5630917966845598
SIGMA-70-194,818e2769f4547e40b5c843bdede68496,2009-06-01,17,Male,Student,The Digital Native,personal_failure,"Business collapsing in year one, rebuilding from zero that winter changed everything.",14,0.6048080214456278,0.4190520542525552,0.6465038482102733,0.4454965396173889,0.7573867607056821,0.7989608656783934,46.88045761945143,Elevated,0.4,0.4,0.95,0.36234232866832944,0.5211312293426327
ZETA-30-425,ff61eb211dbc3e76dcb88743c981c477,1978-02-13,48,Male,Late Career,The Traditional Elder,childhood_triumph,"Scoring the winning goal in rain-soaked mud, teammates lifting me up that winter changed everything.",23,0.7196216980303514,0.6300241202033031,0.14378016495096352,0.6119879131802279,0.9846154508296587,0.6625798534469948,56.43911709531109,Standard,0.9,0.9,0.3,0.314184890524167,0.37725439956944046
ALPHA-15-347,bba3c121cee65648100cb84b12e814f0,2010-04-01,16,Male,Student,The Disillusioned Artist,discovery,Stumbling upon hidden jazz records that changed my taste forever in the summer of '98.,13,0.9770646391954161,0.6008222327782894,0.5269655975605223,0.47050409446214014,0.7762048272050996,0.8143341780515866,47.853348050618195,Elevated,0.3,0.2,0.6,0.88207157278822,0.3852894652080205
ALPHA-81-298,d348d72875a7006b1313513bd5fd8fa7,1979-08-16,47,Female,Late Career,The Digital Native,discovery,"Finding astronomy books in the attic, realizing how small we are in the summer of '98.",10,0.6093235439865252,0.5871988828013491,0.2970304370152668,0.401474916588189,0.7882205774511775,1.0,51.124728433731754,Standard,0.4,0.4,0.95,0.5457734882816583,0.6239084685921288
ZETA-24-144,a93984a9ee82a195c7e06db3aec5318d,1989-01-04,37,Female,Mid-Career,The Stoic Engineer,personal_failure,"Failing the exam everyone expected me to ace, learning humility one spring morning.",11,0.8117333515404253,0.5866042270147014,0.31665113895024166,0.7028803122393972,0.5573756614274493,0.5712492248171329,62.84114750674205,Standard,0.9,0.8,0.9,0.6680834244345921,0.7710572188571378
ALPHA-66-951,e180240c6cd4492f9e26a12b4e1c99ca,1989-06-02,37,Male,Mid-Career,The Stoic Engineer,early_loss,Moving away before saying goodbye to my best friend at the station on a Tuesday I'll never forget.,8,0.6373560764900318,0.34874809762522985,0.6581455211526598,0.4611343377472544,0.4910795840962584,0.5918766614381146,49.433136468249195,Elevated,0.9,0.8,0.9,0.5345047709944298,0.4360772966357182
ZETA-26-739,a20bc4bcfb4d35e51a941e2003184adb,1972-01-03,54,Male,Late Career,The Traditional Elder,community_bond,Protest march where I felt part of something larger than myself that winter changed everything.,24,0.745145996049255,0.7802562201905705,0.34496722065593594,0.9298343602192007,0.5826886207383077,0.4234883743902366,62.631482945644215,Standard,0.9,0.9,0.3,0.8242071834901803,0.271922875902987
ZETA-11-370,d250b2094469d3afee0c1457d2e050f2,1994-09-04,32,Male,Mid-Career,The Traditional Elder,personal_failure,Losing the championship but gaining respect for sportsmanship on a Tuesday I'll never forget.,20,0.7361213385639563,0.5746457828679781,0.5688231496547271,0.40516803437850746,0.6046625847523288,0.8246212763525118,51.36096198204167,Standard,0.9,0.9,0.3,0.654629107839087,0.3193683872669665
ALPHA-98-735,7b1a7838d2d3fd964ae7ce0454cd1ebb,2006-09-02,20,Male,Student,The Ambitious Entrepreneur,community_bond,Protest march where I felt part of something larger than myself during the autumn of my youth.,5,0.731740660632937,0.9822835179601714,0.31566526966298036,0.9572523764879113,0.3534175448903606,0.5531708099626439,69.94549781729154,Standard,0.4,0.3,0.8,0.4967722900612688,0.7960694540512951
EPSILON-52-643,4fc2333263611e68f2004961beb3147e,1998-12-12,28,Male,Early Career,The Stoic Engineer,childhood_triumph,"Building my first radio from scrap parts, hearing static turn to music in the summer of '98.",25,0.8010065885889718,0.5129886569250036,0.2736500013750669,0.3875750493985682,0.6862147280589158,0.6548331749611587,57.62288978113351,Standard,0.9,0.8,0.9,0.7827830972874985,0.8366327267769944
GAMMA-74-454,3f7227625ee3a5881a20583adf46250e,1973-09-03,53,Female,Late Career,The Ambitious Entrepreneur,early_loss,Moving away before saying goodbye to my best friend at the station one spring morning.,15,0.7410261364091792,0.44895567642697437,0.826082280366498,0.6434046403121254,0.3741193317556814,0.4177765901708859,47.32417798039532,Elevated,0.4,0.3,0.8,0.5787602767213131,0.312932989811597
GAMMA-25-480,3b7b9772e08fd553a3847664bfef18e5,1961-03-07,65,Male,Pre-Retirement,The Stoic Engineer,childhood_triumph,The day I won the spelling bee while my father watched from the back row on a Tuesday I'll never forget.,10,0.9023509512514976,0.6511755784300631,0.38398674184925863,0.48493686342768855,0.9128821018091378,0.7130779648005099,60.64828311750484,Standard,0.9,0.8,0.9,0.49588846643055506,0.7567145731658829
OMEGA-30-266,cb589c32962f427389e877fce3b56550,2006-12-06,20,Female,Student,The Community Builder,childhood_triumph,The day I won the spelling bee while my father watched from the back row that winter changed everything.,12,0.6683284459467896,0.5291088259445502,0.4759311693675277,0.3280305165575169,0.6768236124271663,0.6252809140441317,55.2589255917395,Standard,0.7,0.5,0.5,0.756853976265494,0.8504194216323828
ZETA-38-195,f2214a46a33f4a1b69c5b7b5f19b254a,1957-09-02,69,Female,Pre-Retirement,The Traditional Elder,early_loss,Moving away before saying goodbye to my best friend at the station during the autumn of my youth.,9,0.6349665276382949,0.3452739109732613,0.5508987611162047,0.5104472985746542,0.5061408440021886,0.5231549385816854,48.53741363988696,Elevated,0.9,0.9,0.3,0.8407229707145252,0.33168172945346164
ALPHA-65-190,2bc3ec2e7f948954f1d24ad7912ad723,1994-12-10,32,Male,Mid-Career,The Ambitious Entrepreneur,personal_failure,Losing the championship but gaining respect for sportsmanship on a Tuesday I'll never forget.,20,0.9732789264800663,0.37562437472601096,0.5287787558123307,0.4328172803673918,0.4403079016478926,0.555663588442629,44.59210822679808,Elevated,0.4,0.3,0.8,0.30918546430729177,0.4391574351177989
ZETA-64-273,0d1674e069fb3c0871444814f87d0b07,1947-01-07,79,Male,Retirement,The Traditional Elder,childhood_triumph,"Scoring the winning goal in rain-soaked mud, teammates lifting me up during the autumn of my youth.",21,0.8587682254138229,0.5112636796617271,0.19487337551170514,0.4148842890157988,0.8438636219449176,0.5067927674743201,49.673912161871115,Elevated,0.9,0.9,0.3,0.8815970955266192,0.281691615559973
DELTA-32-866,cc6d6e63ca24caca6daf99891263bbda,1989-08-10,37,Female,Mid-Career,The Ambitious Entrepreneur,community_bond,Protest march where I felt part of something larger than myself one spring morning.,12,0.7904480807704889,0.9980652221442563,0.4747796610403307,1.0,0.3568747618241723,0.3635772072225282,64.52676651453173,Standard,0.4,0.3,0.8,0.8840673516906838,0.3710308047764404
BETA-12-607,bc98010a15cb5fd69c3f22eb1f3310de,1975-03-28,51,Female,Late Career,The Stoic Engineer,community_bond,Church potluck where strangers became family over shared stories on a Tuesday I'll never forget.,13,0.9673739997576765,0.9527381987005592,0.48338155257810195,0.882412261331414,0.3348673801037264,0.33881158808905687,70.7845054796307,Low-Risk,0.9,0.8,0.9,0.8285000673546421,0.6329038390432207
EPSILON-87-512,a10159e29cca5dc0e260f199f5e02a7f,1959-12-17,67,Male,Pre-Retirement,The Disillusioned Artist,community_bond,Church potluck where strangers became family over shared stories during the autumn of my youth.,21,0.7611346405678108,0.6880632393663433,0.27535014770492316,1.0,0.4512877755097259,0.43488515462420474,65.23388644335859,Standard,0.3,0.2,0.6,0.47075646348996414,0.8981747770687816
GAMMA-71-352,48705af4b9bf29ed32d31e20031bde89,1946-02-17,80,Male,Retirement,The Disillusioned Artist,childhood_triumph,"Scoring the winning goal in rain-soaked mud, teammates lifting me up in the summer of '98.",18,0.8420010150645997,0.5309363058779283,0.11626152949189919,0.3843043965639496,0.6819397788366699,0.7688302750919838,44.344315339163664,Elevated,0.3,0.2,0.6,0.6956816296837901,0.33073488487639036
GAMMA-54-805,799f58c0eb0ca117a1f15fc23c1a9457,1984-11-14,42,Female,Mid-Career,The Disillusioned Artist,personal_failure,"Failing the exam everyone expected me to ace, learning humility one spring morning.",9,0.9181044138774471,0.4299224343147172,0.39692094902236963,0.46844720241653987,0.6756310958195108,0.6897164293935122,50.47973370322453,Standard,0.3,0.2,0.6,0.7606987338072743,0.7903051320454726
OMEGA-15-707,dc02ba377c5f4eb773f49cab9401815c,1957-08-02,69,Male,Pre-Retirement,The Ambitious Entrepreneur,early_loss,Moving away before saying goodbye to my best friend at the station on a Tuesday I'll never forget.,12,0.6133224955284993,0.3202854712597052,0.8853878717682764,0.6879637953104993,0.6108766362398594,0.3084478238835795,53.5868735965091,Standard,0.4,0.3,0.8,0.7803343858652736,0.8574471494438338
SIGMA-26-567,3dc69586d90c11412d4587bbb059f62a,1962-07-12,64,Male,Pre-Retirement,The Community Builder,childhood_triumph,"Building my first radio from scrap parts, hearing static turn to music on a Tuesday I'll never forget.",11,0.6293463173509142,0.7175389202517091,0.30118217198908415,0.39827627957507616,0.7674041534467949,0.534455986007487,58.50183455991891,Standard,0.7,0.5,0.5,0.34095218729812976,0.7451274640839056
ALPHA-13-144,7f1cd96127cff9ed954c04493d86170e,2010-07-15,16,Male,Student,The Disillusioned Artist,discovery,Stumbling upon hidden jazz records that changed my taste forever that winter changed everything.,14,0.6572351637017189,0.6747561986003614,0.2513515044741015,0.22504673575763479,0.8811208172698288,0.718839910258694,44.19059115082718,Elevated,0.3,0.2,0.6,0.7064394595099733,0.28798440949702847
DELTA-23-514,579c6080ed840149e7fe5db9d3267181,1941-11-02,85,Male,Retirement,The Traditional Elder,discovery,"Finding astronomy books in the attic, realizing how small we are in the summer of '98.",18,0.6134462224822894,0.536068086598267,0.3620875431691597,0.24845595855272518,0.8333360285578761,0.8122800969394416,55.59679496690383,Standard,0.9,0.9,0.3,0.5070056186373537,0.809906257109841
DELTA-93-291,5c611afc636f221b844c934346c929df,1959-08-23,67,Male,Pre-Retirement,The Ambitious Entrepreneur,community_bond,Protest march where I felt part of something larger than myself on a Tuesday I'll never forget.,5,0.6046205293274135,0.9967688463834605,0.37005571928693987,0.7486929994005553,0.578460199565856,0.49705676865891635,58.252264694847376,Standard,0.4,0.3,0.8,0.42054239927191617,0.20576618507798888
DELTA-40-762,6f33f62e539d3e764e1b75a733d63560,1971-08-18,55,Female,Late Career,The Stoic Engineer,community_bond,Protest march where I felt part of something larger than myself on a Tuesday I'll never forget.,8,0.6496325602558518,0.6751581471211384,0.2294382334186774,1.0,0.48596241408909735,0.6063306608218981,62.017506896002175,Standard,0.9,0.8,0.9,0.5322440994861546,0.30095626357196065
GAMMA-97-754,fe1a13b4b8e65a9db432ab3d4c79ee3a,2007-10-21,19,Female,Student,The Community Builder,early_loss,The family dog not waiting at the door when I came home from school one spring morning.,15,0.7422146706788862,0.5461963361239464,0.7751541436630986,0.7326638419722757,0.6141995752946098,0.4850532604888132,59.30135990888516,Standard,0.7,0.5,0.5,0.7937253939682485,0.6924983704548067
GAMMA-93-578,9b4ffa5dcd6a11d33179556c0b99c38e,1953-05-26,73,Female,Retirement,The Traditional Elder,community_bond,Entire neighborhood coming together after the storm damaged homes during the autumn of my youth.,15,0.906458664834245,0.7024070040288515,0.24378133822441875,0.7597815678107364,0.5726385925312854,0.6533822287535168,60.984694504638576,Standard,0.9,0.9,0.3,0.8744949300257723,0.4359887271267004
SIGMA-65-176,404748280658bdf1ccb61197d0d085d3,2001-04-13,25,Female,Early Career,The Disillusioned Artist,early_loss,"Grandmother's garden empty after she passed, roses still blooming in the summer of '98.",10,0.7111314022116623,0.4994569242524907,0.5928223440117256,0.6839338852385931,0.5515081548426962,0.32764891329055,53.9166563766231,Standard,0.3,0.2,0.6,0.5961681220369612,0.7112339741996263
OMEGA-17-627,84c5f224e7a6c173fe6368746a94a8f6,1967-03-20,59,Female,Late Career,The Community Builder,childhood_triumph,"Building my first radio from scrap parts, hearing static turn to music in the summer of '98.",7,0.9651171193939456,0.7445993836171089,0.2783786854700969,0.533185847337683,0.916809305064618,0.7961513579470394,62.615366951574366,Standard,0.7,0.5,0.5,0.554328983021748,0.8483727712777964
BETA-56-721,2e389112cae1ef3da6a008c3136a3be5,1969-12-14,57,Female,Late Career,The Digital Native,early_loss,"Grandmother's garden empty after she passed, roses still blooming on a Tuesday I'll never forget.",10,0.9143170510441223,0.3277398736094529,0.8364901666957866,0.41978481669092776,0.38142207615444745,0.23217427551739314,42.34082426461144,Elevated,0.4,0.4,0.95,0.8435163812767965,0.36595030280389806
ZETA-35-199,b3a626396eacc34195cb96fb06699633,1976-05-21,50,Female,Late Career,The Stoic Engineer,early_loss,Moving away before saying goodbye to my best friend at the station during the autumn of my youth.,22,0.992918430337096,0.22489117320680552,0.5615651122458636,0.5915164122525751,0.5861482051318128,0.2982482955836227,53.81922745243384,Standard,0.9,0.8,0.9,0.44564396363936265,0.7632438536339403
OMEGA-60-845,c83cea94beae2039e6e8e0789d836dbd,1974-07-01,52,Female,Late Career,The Disillusioned Artist,discovery,"Finding astronomy books in the attic, realizing how small we are that winter changed everything.",19,0.7790172929104205,0.35851761281045474,0.4071007318673689,0.5922115454874457,0.8135173246979368,0.7357261474023942,50.03960146037683,Standard,0.3,0.2,0.6,0.5382086405212619,0.7324050681237368
GAMMA-83-536,bb0c9749f9ce98029dfc69b53fb27c0e,1985-03-20,41,Female,Mid-Career,The Traditional Elder,childhood_triumph,The day I won the spelling bee while my father watched from the back row on a Tuesday I'll never forget.,24,0.7292290496755697,0.7853313901707393,0.27886800242595056,0.3572398083200449,0.6783481783363662,0.6088006187049039,61.21808302586206,Standard,0.9,0.9,0.3,0.34449703091728745,0.74352387317644
OMEGA-38-911,600b0a733256174445117a1fb28f6a8e,1999-02-07,27,Female,Early Career,The Ambitious Entrepreneur,community_bond,Church potluck where strangers became family over shared stories during the autumn of my youth.,23,0.8122507966151292,0.8133796945695853,0.13052783994754474,0.7155856431073135,0.6795831723875612,0.4445929153456629,61.3170311411438,Standard,0.4,0.3,0.8,0.30674619628250355,0.6877101735428262
GAMMA-72-130,78b3777202d66b66b6b32f3cfecfa872,2002-02-07,24,Male,Early Career,The Stoic Engineer,childhood_triumph,The day I won the spelling bee while my father watched from the back row one spring morning.,22,0.9633089702851708,0.5147360826028077,0.2031876191780811,0.4448920998267123,0.9900709133121814,0.410003594213735,50.39720027215279,Standard,0.9,0.8,0.9,0.7426296499621929,0.29527314151306333
OMEGA-82-529,7c6a65c9ddc0b491cf55f3cf67fd746e,1982-01-07,44,Female,Mid-Career,The Digital Native,personal_failure,"Business collapsing in year one, rebuilding from zero during the autumn of my youth.",16,0.7068462083087352,0.5341604894628492,0.5528028649335389,0.6781639835969236,0.4034092397047446,0.7271136668743042,50.31147090843319,Standard,0.4,0.4,0.95,0.8425237650077653,0.3637200910148236
BETA-78-586,a377ff9d6a7d7419f464408dcb00ee30,1977-07-12,49,Male,Late Career,The Stoic Engineer,community_bond,Entire neighborhood coming together after the storm damaged homes on a Tuesday I'll never forget.,7,0.9545735132736288,0.866866441600632,0.19091795882619403,1.0,0.33275560302003704,0.6544315100874893,64.68148661975714,Standard,0.9,0.8,0.9,0.584318286935255,0.22294385251629995
OMEGA-94-885,76fc1c4c2481e7acd8b2abb3d66f5160,1996-05-14,30,Female,Mid-Career,The Community Builder,early_loss,Moving away before saying goodbye to my best friend at the station during the autumn of my youth.,13,0.6681785940772548,0.37364658721554256,0.6253188319715528,0.5935165641987175,0.37462165853605356,0.29783440834316566,55.80779796820647,Standard,0.7,0.5,0.5,0.4483309506582092,0.8288078507276575
OMEGA-62-242,1d64e3199127209018e082f42c4a0c78,1998-09-28,28,Male,Early Career,The Traditional Elder,early_loss,The family dog not waiting at the door when I came home from school on a Tuesday I'll never forget.,7,0.65825090047374,0.2611656710085124,0.8312160915539732,0.5943908692912345,0.32464224787892076,0.20183261189576263,50.783382199977254,Standard,0.9,0.9,0.3,0.5088866757025305,0.5096137160292324
