session_id,citizen_id,timestamp,observation_type,detected_risk,context,sensor_data
SR-5554,ALPHA-12-488,2026-04-30T13:36:25.443231,eating_behavior,RiskLevel.LOW,User is preparing home-cooked meal,"{'calories': 600, 'vegetables': 3}"
SR-1567,SIGMA-61-328,2026-04-30T13:36:25.443237,driving_pattern,RiskLevel.HIGH,User is driving aggressively,"{'speed_mph': 85, 'hard_braking': 5}"
SR-8504,SIGMA-61-328,2026-04-30T13:36:25.443241,eating_behavior,RiskLevel.LOW,User is preparing home-cooked meal,"{'calories': 600, 'vegetables': 3}"
SR-1067,SIGMA-61-328,2026-04-30T13:36:25.443286,social_interaction,RiskLevel.NONE,User is engaged in community event,"{'social_engagement': 0.9, 'positive_sentiment': 0.8}"
SR-7830,EPSILON-61-850,2026-04-30T13:36:25.443308,exercise,RiskLevel.NONE,User is exercising at gym,"{'heart_rate': 140, 'duration_min': 45}"
SR-6410,EPSILON-61-850,2026-04-30T13:36:25.443330,social_interaction,RiskLevel.HIGH,User is in heated argument,"{'stress_level': 0.9, 'aggression': 0.6}"
SR-1202,EPSILON-61-850,2026-04-30T13:36:25.443344,financial_behavior,RiskLevel.MEDIUM,User is making impulse purchases,"{'impulse_score': 0.8, 'budget_deviation': 0.4}"
SR-8879,SIGMA-70-194,2026-04-30T13:36:25.443361,eating_behavior,RiskLevel.HIGH,User skipped meals entirely,"{'calories': 0, 'hydration': 0.3}"
SR-5035,SIGMA-70-194,2026-04-30T13:36:25.443390,exercise,RiskLevel.MEDIUM,User is sedentary for 8+ hours,"{'movement': 0.1, 'posture': 'poor'}"
SR-5391,SIGMA-70-194,2026-04-30T13:36:25.443405,driving_pattern,RiskLevel.HIGH,User is driving aggressively,"{'speed_mph': 85, 'hard_braking': 5}"
SR-7366,ZETA-30-425,2026-04-30T13:36:25.443423,eating_behavior,RiskLevel.MEDIUM,User is eating fast food,"{'calories': 1200, 'sugar': 50}"
SR-4238,ZETA-30-425,2026-04-30T13:36:25.443437,eating_behavior,RiskLevel.LOW,User is preparing home-cooked meal,"{'calories': 600, 'vegetables': 3}"
SR-7700,ZETA-30-425,2026-04-30T13:36:25.443479,eating_behavior,RiskLevel.HIGH,User skipped meals entirely,"{'calories': 0, 'hydration': 0.3}"
SR-1960,ALPHA-15-347,2026-04-30T13:36:25.443534,eating_behavior,RiskLevel.HIGH,User skipped meals entirely,"{'calories': 0, 'hydration': 0.3}"
SR-5377,ALPHA-15-347,2026-04-30T13:36:25.443560,driving_pattern,RiskLevel.LOW,User is driving cautiously,"{'speed_mph': 45, 'hard_braking': 0}"
SR-4431,ALPHA-15-347,2026-04-30T13:36:25.443578,exercise,RiskLevel.NONE,User is exercising at gym,"{'heart_rate': 140, 'duration_min': 45}"
SR-7275,ALPHA-81-298,2026-04-30T13:36:25.443594,financial_behavior,RiskLevel.NONE,User is saving consistently,"{'savings_rate': 0.3, 'financial_health': 0.8}"
SR-9055,ALPHA-81-298,2026-04-30T13:36:25.443610,exercise,RiskLevel.NONE,User is exercising at gym,"{'heart_rate': 140, 'duration_min': 45}"
SR-4538,ALPHA-81-298,2026-04-30T13:36:25.443625,driving_pattern,RiskLevel.LOW,User is driving cautiously,"{'speed_mph': 45, 'hard_braking': 0}"
SR-2476,ZETA-24-144,2026-04-30T13:36:25.443640,financial_behavior,RiskLevel.MEDIUM,User is making impulse purchases,"{'impulse_score': 0.8, 'budget_deviation': 0.4}"
SR-5563,ZETA-24-144,2026-04-30T13:36:25.443656,social_interaction,RiskLevel.NONE,User is engaged in community event,"{'social_engagement': 0.9, 'positive_sentiment': 0.8}"
SR-1101,ZETA-24-144,2026-04-30T13:36:25.443670,eating_behavior,RiskLevel.MEDIUM,User is eating fast food,"{'calories': 1200, 'sugar': 50}"
SR-4690,ALPHA-66-951,2026-04-30T13:36:25.443750,social_interaction,RiskLevel.HIGH,User is in heated argument,"{'stress_level': 0.9, 'aggression': 0.6}"
SR-8108,ALPHA-66-951,2026-04-30T13:36:25.443758,eating_behavior,RiskLevel.MEDIUM,User is eating fast food,"{'calories': 1200, 'sugar': 50}"
SR-5502,ALPHA-66-951,2026-04-30T13:36:25.443764,financial_behavior,RiskLevel.NONE,User is saving consistently,"{'savings_rate': 0.3, 'financial_health': 0.8}"
SR-5653,ZETA-26-739,2026-04-30T13:36:25.443769,social_interaction,RiskLevel.NONE,User is engaged in community event,"{'social_engagement': 0.9, 'positive_sentiment': 0.8}"
SR-6566,ZETA-26-739,2026-04-30T13:36:25.443776,social_interaction,RiskLevel.HIGH,User is in heated argument,"{'stress_level': 0.9, 'aggression': 0.6}"
SR-5544,ZETA-26-739,2026-04-30T13:36:25.443781,social_interaction,RiskLevel.MEDIUM,User is isolated for extended period,"{'social_engagement': 0.1, 'loneliness_score': 0.7}"
SR-9780,ZETA-11-370,2026-04-30T13:36:25.443787,financial_behavior,RiskLevel.MEDIUM,User is making impulse purchases,"{'impulse_score': 0.8, 'budget_deviation': 0.4}"
SR-3330,ZETA-11-370,2026-04-30T13:36:25.443792,exercise,RiskLevel.NONE,User is walking outdoors,"{'steps': 8000, 'heart_rate': 110}"
SR-3319,ZETA-11-370,2026-04-30T13:36:25.443809,financial_behavior,RiskLevel.MEDIUM,User is making impulse purchases,"{'impulse_score': 0.8, 'budget_deviation': 0.4}"
SR-1115,ALPHA-98-735,2026-04-30T13:36:25.443835,exercise,RiskLevel.NONE,User is walking outdoors,"{'steps': 8000, 'heart_rate': 110}"
SR-4351,ALPHA-98-735,2026-04-30T13:36:25.443850,exercise,RiskLevel.MEDIUM,User is sedentary for 8+ hours,"{'movement': 0.1, 'posture': 'poor'}"
SR-7399,ALPHA-98-735,2026-04-30T13:36:25.443863,exercise,RiskLevel.NONE,User is walking outdoors,"{'steps': 8000, 'heart_rate': 110}"
SR-3542,EPSILON-52-643,2026-04-30T13:36:25.443878,social_interaction,RiskLevel.MEDIUM,User is isolated for extended period,"{'social_engagement': 0.1, 'loneliness_score': 0.7}"
SR-2246,EPSILON-52-643,2026-04-30T13:36:25.443893,eating_behavior,RiskLevel.HIGH,User skipped meals entirely,"{'calories': 0, 'hydration': 0.3}"
SR-5059,EPSILON-52-643,2026-04-30T13:36:25.443906,driving_pattern,RiskLevel.LOW,User is driving cautiously,"{'speed_mph': 45, 'hard_braking': 0}"
SR-5757,GAMMA-74-454,2026-04-30T13:36:25.443924,social_interaction,RiskLevel.NONE,User is engaged in community event,"{'social_engagement': 0.9, 'positive_sentiment': 0.8}"
SR-4703,GAMMA-74-454,2026-04-30T13:36:25.443952,social_interaction,RiskLevel.MEDIUM,User is isolated for extended period,"{'social_engagement': 0.1, 'loneliness_score': 0.7}"
SR-2761,GAMMA-74-454,2026-04-30T13:36:25.443966,social_interaction,RiskLevel.MEDIUM,User is isolated for extended period,"{'social_engagement': 0.1, 'loneliness_score': 0.7}"
SR-6217,GAMMA-25-480,2026-04-30T13:36:25.443981,driving_pattern,RiskLevel.LOW,User is driving cautiously,"{'speed_mph': 45, 'hard_braking': 0}"
SR-8450,GAMMA-25-480,2026-04-30T13:36:25.443995,driving_pattern,RiskLevel.EXTREME,User is distracted while driving,"{'phone_use': 1, 'lane_drift': 3}"
SR-6196,GAMMA-25-480,2026-04-30T13:36:25.444011,social_interaction,RiskLevel.MEDIUM,User is isolated for extended period,"{'social_engagement': 0.1, 'loneliness_score': 0.7}"
SR-7386,OMEGA-30-266,2026-04-30T13:36:25.444093,exercise,RiskLevel.NONE,User is walking outdoors,"{'steps': 8000, 'heart_rate': 110}"
SR-8936,OMEGA-30-266,2026-04-30T13:36:25.444117,driving_pattern,RiskLevel.LOW,User is driving cautiously,"{'speed_mph': 45, 'hard_braking': 0}"
SR-6100,OMEGA-30-266,2026-04-30T13:36:25.444132,driving_pattern,RiskLevel.EXTREME,User is distracted while driving,"{'phone_use': 1, 'lane_drift': 3}"
SR-9923,ZETA-38-195,2026-04-30T13:36:25.444151,exercise,RiskLevel.MEDIUM,User is sedentary for 8+ hours,"{'movement': 0.1, 'posture': 'poor'}"
SR-4839,ZETA-38-195,2026-04-30T13:36:25.444166,financial_behavior,RiskLevel.MEDIUM,User is making impulse purchases,"{'impulse_score': 0.8, 'budget_deviation': 0.4}"
SR-6644,ZETA-38-195,2026-04-30T13:36:25.444179,driving_pattern,RiskLevel.LOW,User is driving cautiously,"{'speed_mph': 45, 'hard_braking': 0}"
SR-8872,ALPHA-65-190,2026-04-30T13:36:25.444193,eating_behavior,RiskLevel.LOW,User is preparing home-cooked meal,"{'calories': 600, 'vegetables': 3}"
SR-9635,ALPHA-65-190,2026-04-30T13:36:25.444209,exercise,RiskLevel.NONE,User is walking outdoors,"{'steps': 8000, 'heart_rate': 110}"
SR-5529,ALPHA-65-190,2026-04-30T13:36:25.444257,social_interaction,RiskLevel.MEDIUM,User is isolated for extended period,"{'social_engagement': 0.1, 'loneliness_score': 0.7}"
SR-6975,ZETA-64-273,2026-04-30T13:36:25.444291,social_interaction,RiskLevel.MEDIUM,User is isolated for extended period,"{'social_engagement': 0.1, 'loneliness_score': 0.7}"
SR-1028,ZETA-64-273,2026-04-30T13:36:25.444298,social_interaction,RiskLevel.MEDIUM,User is isolated for extended period,"{'social_engagement': 0.1, 'loneliness_score': 0.7}"
SR-6365,ZETA-64-273,2026-04-30T13:36:25.444359,exercise,RiskLevel.MEDIUM,User is sedentary for 8+ hours,"{'movement': 0.1, 'posture': 'poor'}"
SR-1472,DELTA-32-866,2026-04-30T13:36:25.444366,eating_behavior,RiskLevel.LOW,User is preparing home-cooked meal,"{'calories': 600, 'vegetables': 3}"
SR-6674,DELTA-32-866,2026-04-30T13:36:25.444371,driving_pattern,RiskLevel.EXTREME,User is distracted while driving,"{'phone_use': 1, 'lane_drift': 3}"
SR-1908,DELTA-32-866,2026-04-30T13:36:25.444377,social_interaction,RiskLevel.HIGH,User is in heated argument,"{'stress_level': 0.9, 'aggression': 0.6}"
SR-5810,BETA-12-607,2026-04-30T13:36:25.444381,social_interaction,RiskLevel.HIGH,User is in heated argument,"{'stress_level': 0.9, 'aggression': 0.6}"
SR-6775,BETA-12-607,2026-04-30T13:36:25.444386,exercise,RiskLevel.NONE,User is exercising at gym,"{'heart_rate': 140, 'duration_min': 45}"
SR-2435,BETA-12-607,2026-04-30T13:36:25.444391,social_interaction,RiskLevel.MEDIUM,User is isolated for extended period,"{'social_engagement': 0.1, 'loneliness_score': 0.7}"
SR-7980,EPSILON-87-512,2026-04-30T13:36:25.444396,driving_pattern,RiskLevel.EXTREME,User is distracted while driving,"{'phone_use': 1, 'lane_drift': 3}"
SR-4416,EPSILON-87-512,2026-04-30T13:36:25.444400,exercise,RiskLevel.NONE,User is walking outdoors,"{'steps': 8000, 'heart_rate': 110}"
SR-1656,EPSILON-87-512,2026-04-30T13:36:25.444405,driving_pattern,RiskLevel.HIGH,User is driving aggressively,"{'speed_mph': 85, 'hard_braking': 5}"
SR-2881,GAMMA-71-352,2026-04-30T13:36:25.444410,social_interaction,RiskLevel.MEDIUM,User is isolated for extended period,"{'social_engagement': 0.1, 'loneliness_score': 0.7}"
SR-1835,GAMMA-71-352,2026-04-30T13:36:25.444414,exercise,RiskLevel.NONE,User is exercising at gym,"{'heart_rate': 140, 'duration_min': 45}"
SR-1514,GAMMA-71-352,2026-04-30T13:36:25.444420,eating_behavior,RiskLevel.HIGH,User skipped meals entirely,"{'calories': 0, 'hydration': 0.3}"
SR-7442,GAMMA-54-805,2026-04-30T13:36:25.444424,financial_behavior,RiskLevel.NONE,User is saving consistently,"{'savings_rate': 0.3, 'financial_health': 0.8}"
SR-4911,GAMMA-54-805,2026-04-30T13:36:25.444429,financial_behavior,RiskLevel.NONE,User is saving consistently,"{'savings_rate': 0.3, 'financial_health': 0.8}"
SR-6492,GAMMA-54-805,2026-04-30T13:36:25.444433,driving_pattern,RiskLevel.HIGH,User is driving aggressively,"{'speed_mph': 85, 'hard_braking': 5}"
SR-8359,OMEGA-15-707,2026-04-30T13:36:25.444438,financial_behavior,RiskLevel.EXTREME,User is gambling online,"{'gambling_frequency': 5, 'loss_amount': 500}"
SR-7988,OMEGA-15-707,2026-04-30T13:36:25.444443,social_interaction,RiskLevel.NONE,User is engaged in community event,"{'social_engagement': 0.9, 'positive_sentiment': 0.8}"
SR-7622,OMEGA-15-707,2026-04-30T13:36:25.444447,driving_pattern,RiskLevel.LOW,User is driving cautiously,"{'speed_mph': 45, 'hard_braking': 0}"
SR-9334,SIGMA-26-567,2026-04-30T13:36:25.444452,exercise,RiskLevel.NONE,User is walking outdoors,"{'steps': 8000, 'heart_rate': 110}"
SR-9309,SIGMA-26-567,2026-04-30T13:36:25.444457,exercise,RiskLevel.NONE,User is exercising at gym,"{'heart_rate': 140, 'duration_min': 45}"
SR-3313,SIGMA-26-567,2026-04-30T13:36:25.444462,driving_pattern,RiskLevel.LOW,User is driving cautiously,"{'speed_mph': 45, 'hard_braking': 0}"
SR-5771,ALPHA-13-144,2026-04-30T13:36:25.444467,eating_behavior,RiskLevel.HIGH,User skipped meals entirely,"{'calories': 0, 'hydration': 0.3}"
SR-5561,ALPHA-13-144,2026-04-30T13:36:25.444471,financial_behavior,RiskLevel.EXTREME,User is gambling online,"{'gambling_frequency': 5, 'loss_amount': 500}"
SR-4855,ALPHA-13-144,2026-04-30T13:36:25.444477,exercise,RiskLevel.MEDIUM,User is sedentary for 8+ hours,"{'movement': 0.1, 'posture': 'poor'}"
SR-8408,DELTA-23-514,2026-04-30T13:36:25.444482,eating_behavior,RiskLevel.HIGH,User skipped meals entirely,"{'calories': 0, 'hydration': 0.3}"
