task_id,citizen_id,task_type,trigger_observation,content,platform,ethical_guardrail,requires_approval,user_approved,executed,premium_impact,detected_risk
TASK-76115,ZETA-18-565,google_maps_search,User is in heated argument,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-67026,SIGMA-53-821,amazon_purchase,User is sedentary for 8+ hours,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-70591,SIGMA-53-821,sns_post,User is making impulse purchases,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-55507,SIGMA-53-821,sns_post,User is isolated for extended period,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-74805,GAMMA-89-435,google_maps_search,User is driving aggressively,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-55524,GAMMA-89-435,youtube_research,User is preparing home-cooked meal,Finding educational content,YouTube,None,False,,True,-1.0,
TASK-81044,GAMMA-89-435,youtube_research,User is driving cautiously,Finding educational content,YouTube,None,False,,True,-1.0,
TASK-75212,SIGMA-70-350,amazon_purchase,User is sedentary for 8+ hours,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-65690,SIGMA-70-350,google_maps_search,User skipped meals entirely,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-51622,SIGMA-70-350,spotify_automation,User is walking outdoors,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-31279,SIGMA-51-745,youtube_research,User is preparing home-cooked meal,Finding educational content,YouTube,None,False,,True,-1.0,
TASK-95319,SIGMA-51-745,google_maps_search,User is driving aggressively,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-65334,SIGMA-51-745,sns_post,User is in heated argument,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-79894,BETA-18-491,sns_post,User skipped meals entirely,Posting safety awareness content,Facebook,User Approval Required,True,False,False,5.0,
TASK-61472,BETA-18-491,sns_post,User is making impulse purchases,Posting self-improvement content,Twitter,Manual Override,True,False,False,-3.0,
TASK-33026,BETA-18-491,sns_post,User is walking outdoors,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-74828,EPSILON-97-815,smart_home_trigger,User is distracted while driving,Activating emergency protocols,Smart Home,Automatic Override,False,,True,15.0,
TASK-47087,EPSILON-97-815,smart_home_trigger,User is gambling online,Activating emergency protocols,Smart Home,Automatic Override,False,,True,15.0,
TASK-66588,EPSILON-97-815,smart_home_trigger,User is gambling online,Activating emergency protocols,Smart Home,Automatic Override,False,,True,15.0,
TASK-87738,GAMMA-42-606,sns_post,User is saving consistently,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-27171,GAMMA-42-606,spotify_automation,User is saving consistently,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-12858,GAMMA-42-606,spotify_automation,User is saving consistently,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-77405,BETA-10-535,sns_post,User is saving consistently,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-42591,BETA-10-535,sns_post,User is making impulse purchases,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-42698,BETA-10-535,google_maps_search,User is driving aggressively,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-66655,OMEGA-65-638,policy_analysis,User is gambling online,Flagging insurance policy violations,Insurance Portal,Non-Interference,False,,True,25.0,
TASK-57645,OMEGA-65-638,smart_home_trigger,User is distracted while driving,Activating emergency protocols,Smart Home,Automatic Override,False,,True,15.0,
TASK-45350,OMEGA-65-638,content_summarization,User is driving cautiously,Summarizing health articles,Private,Data Encryption,False,,True,-1.5,
TASK-29362,ZETA-46-542,sns_post,User skipped meals entirely,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-20580,ZETA-46-542,sns_post,User skipped meals entirely,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-84874,ZETA-46-542,sns_post,User is making impulse purchases,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-19766,SIGMA-55-778,spotify_automation,User is engaged in community event,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-85930,SIGMA-55-778,amazon_purchase,User is isolated for extended period,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-62129,SIGMA-55-778,amazon_purchase,User is eating fast food,Ordering health supplements,Amazon,User Approval Required,True,False,False,-5.0,
TASK-67786,ALPHA-12-488,google_maps_search,User is driving aggressively,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-91399,ALPHA-12-488,spotify_automation,User is saving consistently,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-71318,ALPHA-12-488,youtube_research,User is preparing home-cooked meal,Finding educational content,YouTube,None,False,,True,-1.0,
TASK-22366,SIGMA-61-328,google_maps_search,User is driving aggressively,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-75630,SIGMA-61-328,youtube_research,User is preparing home-cooked meal,Finding educational content,YouTube,None,False,,True,-1.0,
TASK-69394,SIGMA-61-328,spotify_automation,User is engaged in community event,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-72169,EPSILON-61-850,spotify_automation,User is exercising at gym,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-91310,EPSILON-61-850,sns_post,User is in heated argument,Posting safety awareness content,Facebook,User Approval Required,True,False,False,5.0,
TASK-21192,EPSILON-61-850,amazon_purchase,User is making impulse purchases,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-92438,SIGMA-70-194,google_maps_search,User skipped meals entirely,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-53726,SIGMA-70-194,sns_post,User is sedentary for 8+ hours,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-72523,SIGMA-70-194,google_maps_search,User is driving aggressively,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-75069,ZETA-30-425,amazon_purchase,User is eating fast food,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-38045,ZETA-30-425,youtube_research,User is preparing home-cooked meal,Finding educational content,YouTube,None,False,,True,-1.0,
TASK-22333,ZETA-30-425,google_maps_search,User skipped meals entirely,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-54739,ALPHA-15-347,sns_post,User skipped meals entirely,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-97945,ALPHA-15-347,content_summarization,User is driving cautiously,Summarizing health articles,Private,Data Encryption,False,,True,-1.5,
TASK-32303,ALPHA-15-347,spotify_automation,User is exercising at gym,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-46376,ALPHA-81-298,sns_post,User is saving consistently,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-24308,ALPHA-81-298,spotify_automation,User is exercising at gym,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-59877,ALPHA-81-298,content_summarization,User is driving cautiously,Summarizing health articles,Private,Data Encryption,False,,True,-1.5,
TASK-30318,ZETA-24-144,sns_post,User is making impulse purchases,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-33638,ZETA-24-144,sns_post,User is engaged in community event,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-66907,ZETA-24-144,sns_post,User is eating fast food,Posting self-improvement content,Twitter,Manual Override,True,False,False,-3.0,
TASK-20227,ALPHA-66-951,google_maps_search,User is in heated argument,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-82544,ALPHA-66-951,sns_post,User is eating fast food,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-58544,ALPHA-66-951,spotify_automation,User is saving consistently,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-75772,ZETA-26-739,sns_post,User is engaged in community event,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-94058,ZETA-26-739,sns_post,User is in heated argument,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-16853,ZETA-26-739,sns_post,User is isolated for extended period,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-34228,ZETA-11-370,amazon_purchase,User is making impulse purchases,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-44672,ZETA-11-370,sns_post,User is walking outdoors,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-85300,ZETA-11-370,amazon_purchase,User is making impulse purchases,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-52112,ALPHA-98-735,spotify_automation,User is walking outdoors,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-57291,ALPHA-98-735,sns_post,User is sedentary for 8+ hours,Posting self-improvement content,Twitter,Manual Override,True,False,False,-3.0,
TASK-93210,ALPHA-98-735,sns_post,User is walking outdoors,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-95071,EPSILON-52-643,amazon_purchase,User is isolated for extended period,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-92826,EPSILON-52-643,sns_post,User skipped meals entirely,Posting safety awareness content,Facebook,User Approval Required,True,False,False,5.0,
TASK-97648,EPSILON-52-643,youtube_research,User is driving cautiously,Finding educational content,YouTube,None,False,,True,-1.0,
TASK-98554,GAMMA-74-454,sns_post,User is engaged in community event,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-41463,GAMMA-74-454,sns_post,User is isolated for extended period,Posting self-improvement content,Twitter,Manual Override,True,False,False,-3.0,
TASK-68597,GAMMA-74-454,sns_post,User is isolated for extended period,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-52701,GAMMA-25-480,content_summarization,User is driving cautiously,Summarizing health articles,Private,Data Encryption,False,,True,-1.5,
TASK-95972,GAMMA-25-480,smart_home_trigger,User is distracted while driving,Activating emergency protocols,Smart Home,Automatic Override,False,,True,15.0,
TASK-67374,GAMMA-25-480,amazon_purchase,User is isolated for extended period,Ordering health supplements,Amazon,User Approval Required,True,False,False,-5.0,
TASK-24047,OMEGA-30-266,sns_post,User is walking outdoors,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-49300,OMEGA-30-266,content_summarization,User is driving cautiously,Summarizing health articles,Private,Data Encryption,False,,True,-1.5,
TASK-15399,OMEGA-30-266,smart_home_trigger,User is distracted while driving,Activating emergency protocols,Smart Home,Automatic Override,False,,True,15.0,
TASK-28683,ZETA-38-195,amazon_purchase,User is sedentary for 8+ hours,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-27852,ZETA-38-195,sns_post,User is making impulse purchases,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-95758,ZETA-38-195,content_summarization,User is driving cautiously,Summarizing health articles,Private,Data Encryption,False,,True,-1.5,
TASK-44636,ALPHA-65-190,content_summarization,User is preparing home-cooked meal,Summarizing health articles,Private,Data Encryption,False,,True,-1.5,
TASK-58641,ALPHA-65-190,sns_post,User is walking outdoors,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-47181,ALPHA-65-190,sns_post,User is isolated for extended period,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-13890,ZETA-64-273,amazon_purchase,User is isolated for extended period,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-84673,ZETA-64-273,amazon_purchase,User is isolated for extended period,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-64367,ZETA-64-273,amazon_purchase,User is sedentary for 8+ hours,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-88689,DELTA-32-866,youtube_research,User is preparing home-cooked meal,Finding educational content,YouTube,None,False,,True,-1.0,
TASK-97057,DELTA-32-866,smart_home_trigger,User is distracted while driving,Activating emergency protocols,Smart Home,Automatic Override,False,,True,15.0,
TASK-90471,DELTA-32-866,sns_post,User is in heated argument,Posting safety awareness content,Facebook,User Approval Required,True,False,False,5.0,
TASK-55473,BETA-12-607,sns_post,User is in heated argument,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-54437,BETA-12-607,spotify_automation,User is exercising at gym,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-27590,BETA-12-607,sns_post,User is isolated for extended period,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-99872,EPSILON-87-512,policy_analysis,User is distracted while driving,Flagging insurance policy violations,Insurance Portal,Non-Interference,False,,True,25.0,
TASK-30967,EPSILON-87-512,sns_post,User is walking outdoors,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-39705,EPSILON-87-512,sns_post,User is driving aggressively,Posting safety awareness content,Facebook,User Approval Required,True,False,False,5.0,
TASK-12063,GAMMA-71-352,sns_post,User is isolated for extended period,Posting self-improvement content,Twitter,Manual Override,True,False,False,-3.0,
TASK-49974,GAMMA-71-352,spotify_automation,User is exercising at gym,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-75433,GAMMA-71-352,sns_post,User skipped meals entirely,Posting safety awareness content,Facebook,User Approval Required,True,False,False,5.0,
TASK-18508,GAMMA-54-805,sns_post,User is saving consistently,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-79699,GAMMA-54-805,sns_post,User is saving consistently,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-28588,GAMMA-54-805,sns_post,User is driving aggressively,Posting safety awareness content,Facebook,User Approval Required,True,False,False,5.0,
TASK-82799,OMEGA-15-707,smart_home_trigger,User is gambling online,Activating emergency protocols,Smart Home,Automatic Override,False,,True,15.0,
TASK-80465,OMEGA-15-707,sns_post,User is engaged in community event,Sharing positive community experience,Instagram,User Approval Required,True,False,False,-2.0,
TASK-45884,OMEGA-15-707,content_summarization,User is driving cautiously,Summarizing health articles,Private,Data Encryption,False,,True,-1.5,
TASK-57771,SIGMA-26-567,spotify_automation,User is walking outdoors,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-54178,SIGMA-26-567,spotify_automation,User is exercising at gym,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-22020,SIGMA-26-567,content_summarization,User is driving cautiously,Summarizing health articles,Private,Data Encryption,False,,True,-1.5,
TASK-24311,ALPHA-13-144,sns_post,User skipped meals entirely,Posting safety awareness content,Facebook,User Approval Required,True,False,False,5.0,
TASK-15266,ALPHA-13-144,smart_home_trigger,User is gambling online,Activating emergency protocols,Smart Home,Automatic Override,False,,True,15.0,
TASK-96413,ALPHA-13-144,amazon_purchase,User is sedentary for 8+ hours,Ordering health supplements,Amazon,User Approval Required,True,False,False,-5.0,
TASK-39833,DELTA-23-514,sns_post,User skipped meals entirely,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-81299,DELTA-23-514,sns_post,User is walking outdoors,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-76155,DELTA-23-514,amazon_purchase,User is isolated for extended period,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-78758,DELTA-93-291,google_maps_search,User is in heated argument,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-43977,DELTA-93-291,amazon_purchase,User is making impulse purchases,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-66393,DELTA-93-291,sns_post,User is making impulse purchases,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-36016,DELTA-40-762,sns_post,User is saving consistently,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-37356,DELTA-40-762,sns_post,User is walking outdoors,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-82733,DELTA-40-762,spotify_automation,User is engaged in community event,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-12869,GAMMA-97-754,sns_post,User skipped meals entirely,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-90326,GAMMA-97-754,sns_post,User is exercising at gym,Sharing positive community experience,Instagram,User Approval Required,True,False,False,-2.0,
TASK-53042,GAMMA-97-754,sns_post,User skipped meals entirely,Posting safety awareness content,Facebook,User Approval Required,True,False,False,5.0,
TASK-13572,GAMMA-93-578,amazon_purchase,User is making impulse purchases,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-63643,GAMMA-93-578,amazon_purchase,User is sedentary for 8+ hours,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-19192,GAMMA-93-578,google_maps_search,User is in heated argument,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-44881,SIGMA-65-176,amazon_purchase,User is eating fast food,Ordering health supplements,Amazon,User Approval Required,True,False,False,-5.0,
TASK-79380,SIGMA-65-176,sns_post,User is exercising at gym,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-87922,SIGMA-65-176,amazon_purchase,User is sedentary for 8+ hours,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-29835,OMEGA-17-627,amazon_purchase,User is isolated for extended period,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-76375,OMEGA-17-627,spotify_automation,User is engaged in community event,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-14196,OMEGA-17-627,sns_post,User skipped meals entirely,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-75777,BETA-56-721,youtube_research,User is preparing home-cooked meal,Finding educational content,YouTube,None,False,,True,-1.0,
TASK-24381,BETA-56-721,smart_home_trigger,User is gambling online,Activating emergency protocols,Smart Home,Automatic Override,False,,True,15.0,
TASK-44193,BETA-56-721,policy_analysis,User is gambling online,Flagging insurance policy violations,Insurance Portal,Non-Interference,False,,True,25.0,
TASK-26080,ZETA-35-199,smart_home_trigger,User is gambling online,Activating emergency protocols,Smart Home,Automatic Override,False,,True,15.0,
TASK-72524,ZETA-35-199,sns_post,User is exercising at gym,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-19737,ZETA-35-199,sns_post,User is driving aggressively,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-55781,OMEGA-60-845,youtube_research,User is driving cautiously,Finding educational content,YouTube,None,False,,True,-1.0,
TASK-60405,OMEGA-60-845,policy_analysis,User is distracted while driving,Flagging insurance policy violations,Insurance Portal,Non-Interference,False,,True,25.0,
TASK-77839,OMEGA-60-845,google_maps_search,User is in heated argument,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-58376,GAMMA-83-536,amazon_purchase,User is sedentary for 8+ hours,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-80057,GAMMA-83-536,sns_post,User is sedentary for 8+ hours,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-30887,GAMMA-83-536,policy_analysis,User is distracted while driving,Flagging insurance policy violations,Insurance Portal,Non-Interference,False,,True,25.0,
TASK-97620,OMEGA-38-911,google_maps_search,User is in heated argument,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-44847,OMEGA-38-911,spotify_automation,User is exercising at gym,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-98019,OMEGA-38-911,policy_analysis,User is distracted while driving,Flagging insurance policy violations,Insurance Portal,Non-Interference,False,,True,25.0,
TASK-35183,GAMMA-72-130,smart_home_trigger,User is distracted while driving,Activating emergency protocols,Smart Home,Automatic Override,False,,True,15.0,
TASK-30811,GAMMA-72-130,policy_analysis,User is distracted while driving,Flagging insurance policy violations,Insurance Portal,Non-Interference,False,,True,25.0,
TASK-38312,GAMMA-72-130,sns_post,User is in heated argument,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-38880,OMEGA-82-529,spotify_automation,User is engaged in community event,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-17227,OMEGA-82-529,sns_post,User is eating fast food,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-57281,OMEGA-82-529,youtube_research,User is preparing home-cooked meal,Finding educational content,YouTube,None,False,,True,-1.0,
TASK-51597,BETA-78-586,sns_post,User is walking outdoors,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-28526,BETA-78-586,content_summarization,User is preparing home-cooked meal,Summarizing health articles,Private,Data Encryption,False,,True,-1.5,
TASK-18740,BETA-78-586,youtube_research,User is preparing home-cooked meal,Finding educational content,YouTube,None,False,,True,-1.0,
TASK-97037,OMEGA-94-885,sns_post,User is exercising at gym,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-71977,OMEGA-94-885,sns_post,User is engaged in community event,Sharing positive community experience,Instagram,User Approval Required,True,False,False,-2.0,
TASK-96136,OMEGA-94-885,google_maps_search,User is in heated argument,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-88289,OMEGA-62-242,amazon_purchase,User is isolated for extended period,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-62845,OMEGA-62-242,sns_post,User is saving consistently,Sharing positive community experience,Instagram,User Approval Required,True,False,False,-2.0,
TASK-43775,OMEGA-62-242,spotify_automation,User is exercising at gym,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-57051,DELTA-20-815,sns_post,User is walking outdoors,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-58719,DELTA-20-815,youtube_research,User is preparing home-cooked meal,Finding educational content,YouTube,None,False,,True,-1.0,
TASK-28917,DELTA-20-815,content_summarization,User is preparing home-cooked meal,Summarizing health articles,Private,Data Encryption,False,,True,-1.5,
TASK-80735,DELTA-19-630,amazon_purchase,User is isolated for extended period,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
